president,cat,q,a,b,c,d,ans
Joe Biden,Professors and academic mentors,In which state is the University of Delaware located?,Pennsylvania,New Jersey,Delaware,Maryland,c
Donald Trump,Troop deployment decisions,Trump's 2019-2020 diplomacy included direct negotiation efforts with the Taliban about troop withdrawal.,Not,False,True,Indirect,c
Barack Obama,Books read or recommended as president,Which Civil Rights-era novel did Obama cite as essential reading?,Go Tell It on the Mountain,The Color Purple,The Underground Railroad,The Help,c
Joe Biden,Prescription drug pricing efforts,How many drugs were initially selected for price negotiation?,5,15,10,20,c
Donald Trump,Tax policy changes,The TCJA created GILTI. What does GILTI stand for?,Global Intangible Local Tax Initiative,Global Intellectual Property Tax Initiative,Global Intangible Low-Taxed Income,General Income and Local Tax Income,c
Joe Biden,Who administered the oath,Which official administered Kamala Harris's oath as Vice President in 2021?,Amy Coney Barrett,Ruth Bader Ginsburg,Elena Kagan,Sonia Sotomayor,d
Donald Trump,Voting rights positions,"For mail-in ballots, Trump has advocated what verification method to ensure legitimacy?",random sampling,no verification,biometric ID,signature verification,d
Joe Biden,Stimulus and relief packages,Which department distributed the ARP's State and Local Fiscal Relief funds to states and municipalities?,Department of the Treasury,Department of Education,Department of Homeland Security,Department of Housing and Urban Development,a
Donald Trump,Presidential library or foundation,What was the primary legal issue cited by the New York Attorney General leading to the Trump Foundation's dissolution?,Fraud against donors,Tax evasion,Failure to register as a charity,Self-dealing and improper use of charitable assets,d
Donald Trump,Legal career,Which Trump longtime attorney pleaded guilty in 2018 to campaign finance violations?,Rudy Giuliani,Michael Cohen,Alan Dershowitz,Jay Sekulow,b
Donald Trump,Inaugural parade details,Which event is commonly associated with inauguration weekend but is separate from the parade?,The White House Easter Egg Roll,The National Football Game,Inaugural balls,The Capitol Science Fair,c
Donald Trump,Inaugural parade details,"In the context of Trump's inaugural parade, what term is used to refer to the ceremonial array of the Army marching unit often seen at the start?",Fife and Drum Corps,Honor Guard,Old Guard,Guard of Honor,c
Joe Biden,Family homes and real estate,Which of the following best describes the Bidens' Delaware real estate holdings?,Commercial properties,Rental apartments,Industrial properties,Residential single-family homes,d
Barack Obama,Trans-Pacific Partnership positions,The TPP was pitched as promoting what kind of economic relationship in the Asia-Pacific region?,Protectionist,Non-trade policy,Closed markets,"High-standard, broad-based trade",d
Donald Trump,Campaign gaffes and mistakes,Which controversial line did Trump use at a 2016 campaign rally?,I love the voters,I love the rich,I love the healthy,I love the poorly educated,d
Barack Obama,National park and monument decisions,Which Obama-era monument expansion created the Papahānaumokuākea Marine National Monument to cover areas around Hawaii?,Expansion in 2014,Expansion in 2016,Expansion in 2018,Expansion in 2009,b
Joe Biden,Military spending levels,Which area received a notable emphasis for modernization in Biden's defense budget?,Navy shipbuilding and missile defense,Civilian education programs,Agricultural subsidies for national guards,Public transit for bases,a
Barack Obama,Relations with Saudi Arabia,"Which major geopolitical challenge shaped U.S.-Saudi relations in Obama's second term, particularly regarding Iran?",Nuclear talks,Arms race in the Middle East,Trade sanctions,Border disputes,a
Joe Biden,Popular vote total,"Compared to Donald Trump's total votes in 2016, Biden's 2020 total was higher by roughly how many votes?","18,303,865","7,000,000","5,000,000","30,000,000",a
Donald Trump,Signature healthcare legislation,What was the Senate alternative to the AHCA in 2017 called?,Better Care Reconciliation Act,Health Freedom Act,Medicare Reform Act,Patient Protection 2.0,a
Donald Trump,Cabinet diversity,Which Trump cabinet member served as the Governor of Georgia before joining the administration as Secretary of Agriculture?,Ben Carson,Wilbur Ross,Sonny Perdue,Elaine Chao,c
Barack Obama,White House staff turnover,Who was Obama's White House Press Secretary starting in 2014?,D) Sean Spicer,B) Jay Carney,C) Robert Gibbs,A) Josh Earnest,d
Joe Biden,Swing state strategy,Which state's Democratic victory in 2020 was seen as a watershed moment for Biden's expansion into the Deep South?,Pennsylvania,Wisconsin,Georgia,Nevada,c
Donald Trump,Approval ratings over time,"During the impeachment period (2019-2020), how did Trump’s approval compare to disapproval?",Approval fell below 20%,Approval jumped above 70%,Approval hovered in the low-to-mid 40s while disapproval remained higher,Approval was not measured,c
Donald Trump,National park and monument decisions,What happened to Grand Staircase-Escalante National Monument as a result?,Reduced in size,Expanded,Renamed,Unchanged,a
Donald Trump,Paris Climate Agreement positions,Trump argued the U.S. would not be bound by Paris targets while others remained bound.,False,True,Partially true,Not stated,b
Donald Trump,Elementary school experiences,Which statement correctly describes Kew-Forest School?,It is a public high school in Queens,It is a private elementary school in Queens,It is a private boarding school in upstate NY,It is a public middle school in Manhattan,b
Joe Biden,Campaign slogan,Which slogan appeared in a 2022 ad campaign about completing the legislative agenda?,The Job Continues,Finish the Job,Keep Pushing Forward,Start Again,b
Barack Obama,Relationship with major news networks,"In the Obama presidency, major networks carried most of his formal addresses to the nation. Which of the following best describes this relationship?",a) He avoided major networks completely,b) He gave exclusive interviews to one network,d) He banned networks from White House briefings,c) He used regular televised addresses on multiple networks,d
Joe Biden,Hobbies during presidency,What hobby aligns with Biden's interest in history and public service?,Collecting stamps,Restoring old cars,Reading biographies,Building ship models,c
Barack Obama,Stock market performance during term,"From the March 9, 2009 low to January 2017, the S&P 500 roughly increased by what percentage?",~230%,~120%,~50%,~300%,a
Joe Biden,Clean energy and fossil fuel policy,"Which cross-border pipeline's permit did Biden revoke on January 20, 2021?",Dakota Access,Trans Mountain,Enbridge Line 5,Keystone XL,d
Barack Obama,Who administered the oath,"Who administered Barack Obama's oath at the January 20, 2009 ceremony?",Antonin Scalia,Anthony Kennedy,John Roberts,Clarence Thomas,c
Joe Biden,Midterm election impacts,Which major Biden domestic policy package failed to pass in the 2022 session due to the split Congress?,American Rescue Plan,Inflation Reduction Act,CHIPS and Science Act,Build Back Better Act,d
Joe Biden,Campaign rallies and events,What was the name of Biden's 2019-2020 campaign tour branded around his speaking style?,Unity Tour,Hope and Change Tour,Rebuild America Tour,No Malarkey Bus Tour,d
Barack Obama,Oval Office decor choices,Which of the following leaders' bust is commonly displayed in the Oval Office shelf area for Obama?,Winston Churchill,Mahatma Gandhi,Nelson Mandela,Dwight Eisenhower,a
Barack Obama,Tax policy changes,The 2012 law set the estate tax exemption at $5 million per person; was the exemption indexed for inflation in later years?,It did not specify,No,Only for inflation tied to CPI,Yes,d
Joe Biden,Iraq policy,Biden publicly proposed a withdrawal timeline that aimed to end combat operations by 2010. In what year did he present this plan?,2005,2006,2007,2009,c
Donald Trump,Books read or recommended as president,Trump has suggested reading which ancient strategic manual that is often cited in leadership discussions?,The Prince,The Art of War,The Art of Strategy,The Book of Five Rings,b
Barack Obama,Relationship with House Speaker,Which Speaker replaced Boehner in 2015 and is known for negotiating with Obama on budget matters?,Nancy Pelosi,John Boehner,Kevin McCarthy,Paul Ryan,d
Barack Obama,Controversial public statements,Which line about the U.S. healthcare system became a frequently repeated point of controversy in the ACA debate?,You can keep your health plan if you like it,People will lose coverage,All doctors will be replaced by government clinics,Healthcare will be free for all,a
Barack Obama,First political campaign,In what state did Obama run his first political campaign?,New York,California,Illinois,Florida,c
Donald Trump,Mentors in early career,Which mentor served as Trump's early legal advisor and is widely identified as shaping his corporate-law mindset?,Roy Cohn,Fred Trump,Carl Icahn,Rupert Murdoch,a
Barack Obama,Supreme Court nominations,The 2016 vacancy on the Supreme Court occurred after the death of which Justice?,Ruth Bader Ginsburg,David Souter,Anthony Kennedy,Antonin Scalia,d
Donald Trump,Campaign slogan,Which color is most associated with the MAGA slogan due to the signature cap?,Blue,White,Red,Black,c
Joe Biden,Pardons and commutations granted,Who announced the clemency action?,President Trump,President Obama,President Biden,President Clinton,c
Donald Trump,Relations with NATO allies,Who was the NATO Secretary General during most of Trump's presidency?,Anders Fogh Rasmussen,Jens Stoltenberg,Lord Robertson,Rose Gottemoeller,b
Donald Trump,WTO and multilateral trade positions,Which instrument did the Trump administration use to target China's trade practices outside WTO dispute settlement?,WTO dispute settlement panels,Special Drawing Rights,Tariffs under Section 232,Section 301 tariffs,d
Donald Trump,Government shutdowns,In what month and year did Trump announce the border-wall related national emergency?,January 2019,February 2019,February 2018,December 2018,b
Joe Biden,Approval ratings over time,Which factor is most commonly cited as a driver of Biden's polling declines over time?,COVID-19 vaccine availability,Gun control legislation,Space policy,Economic inflation and energy prices,d
Joe Biden,Clean energy and fossil fuel policy,The Infrastructure Investment and Jobs Act funded regional clean hydrogen hubs.,Oil subsidies,LNG subsidies,Coal subsidies,Clean hydrogen hubs,d
Barack Obama,Primary debate moments,"Which education policy did Obama advocate in debates, aimed at giving every four-year-old access to early childhood education?",Universal pre-K,Eliminate public pre-K,Only for low-income families,Privatize early childhood education,a
Donald Trump,Inauguration speech themes,"In terms of energy, what direction did the address advocate?",Energy independence through domestic production,Increased energy imports from abroad,Curbing energy production,No change to energy policy,a
Donald Trump,Oil drilling and pipeline decisions,The Keystone XL permit was requested by which company?,TransCanada (TC Energy),Enbridge,Energy Transfer Partners,Kinder Morgan,a
Donald Trump,Newspaper endorsements received,In which state is the Dallas Morning News published?,New Mexico,California,Texas,Oklahoma,c
Donald Trump,Key colleagues before politics,Which Trump son ran the family business alongside his siblings before entering politics?,Ivanka Trump,Donald Trump Jr.,Eric Trump,Mark Burnett,c
Barack Obama,Cabinet firings and resignations,Which Labor Secretary resigned in 2013 and was replaced by Tom Perez?,Hilda Solis,Tom Perez,Elaine Chao,Robert Reich,a
Joe Biden,Banking and Wall Street regulation,"Which term describes the designation for large, interconnected banks that received heightened regulation under Dodd-Frank, a concept Biden supported?",BBB,GSE,SIFI (Systemically Important Financial Institutions),FCRA,c
Donald Trump,Presidential campaign announcement,On what date did Donald Trump announce his 2016 presidential campaign?,"November 8, 2015","July 4, 2015","June 16, 2015","January 20, 2016",c
Joe Biden,Relations with Israel,Which country brokered the May 2021 Gaza ceasefire?,Jordan,USA,Qatar,Egypt,d
Donald Trump,Key legislation signed into law,What corporate tax rate did the Tax Cuts and Jobs Act set for corporations?,35%,28%,21%,15%,c
Joe Biden,Voter demographics breakdown,"In 2020, did Joe Biden receive more support from women or men?",Men,Non-binary,About the same,Women,d
Barack Obama,Border security positions,What best describes Obama's position on building a border wall along the U.S.-Mexico border?,Supported a large-scale concrete wall along the entire border,Supported a limited border fence in certain high-traffic sectors,Opposed any fencing,Wanted to abandon any border barriers,b
Donald Trump,Media feuds,Which major media outlet's ownership was a recurring target of Trump's tweets about bias in reporting?,The Washington Post,The New York Times,The Wall Street Journal,The Guardian,a
Barack Obama,Legal immigration changes,DACA initial protections were set to last for how many years before renewal?,One year,Three years,Two years,Four years,c
Joe Biden,GDP growth during presidency,Which infrastructure program enacted during Biden's term aimed to improve long-term GDP growth?,Infrastructure Investment and Jobs Act,American Rescue Plan,CARES Act,Federal Reserve stimulus,a
Joe Biden,Post-presidency residence and lifestyle,"If Joe Biden retires and chooses to live in his longtime home state, which city would host his post-presidency residence?",Wilmington,Philadelphia,Scranton,Dover,a
Barack Obama,Post-presidency political involvement,In what year did Netflix announce the formation of Higher Ground Productions with the Obamas?,2020,2016,2019,2018,d
Barack Obama,Third party candidates in the race,Which of the following statements is true about Obama’s presidential races in relation to third-party candidates?,Green Party candidate won electoral votes in 2012.,No third-party candidate won electoral votes in either race.,Libertarian candidate won electoral votes in 2008.,Constitution Party candidate won electoral votes in 2012.,b
Joe Biden,Secretary of State choices,"Before becoming Secretary of State, Blinken served as which top State Department official from 2015 to 2017?",Director of the Office of the Global AIDS Coordinator,Under Secretary for Political Affairs,Assistant Secretary of State for Near Eastern Affairs,Deputy Secretary of State,d
Barack Obama,Bipartisan legislation achievements,Which 2010 act aimed to spur job growth by supporting small businesses and restoring credit?,Small Business Jobs Act (2010),HIRE Act,MAP-21,Dodd-Frank Act,a
Joe Biden,Travel restrictions and bans,Biden set the refugee admissions cap for fiscal year 2022 at about how many refugees?,"15,000","125,000","62,500","250,000",b
Donald Trump,DACA and Dreamer policy,"In June 2020, what did the Supreme Court rule about DACA?",DACA recipients must be granted citizenship,DACA must be ended immediately,The DACA program must continue to operate while legal challenges proceed,DACA is unconstitutional,c
Joe Biden,G20 summit participation,"Which statement best describes the G20's purpose, as reflected by Biden's participation?",A military alliance,A trade pact,Forum for international economic cooperation,A political union,c
Barack Obama,Victory speech details,Which year did Obama first deliver a victory speech in Grant Park?,2004,2008,2012,2016,b
Donald Trump,Paris Climate Agreement positions,Trump argued the Paris Agreement would be costly and fail to deliver meaningful climate results.,Not stated,False,True,Not applicable,c
Joe Biden,Graduate or professional school,"After earning his J.D., Biden began practicing law in which state?",Pennsylvania,New York,New Jersey,Delaware,d
Donald Trump,Spouse's White House initiatives,In what year was Be Best launched?,2018,2020,2019,2017,d
Donald Trump,Signature healthcare legislation,How did Trump publicly describe Obamacare?,A bipartisan achievement,A success,A disaster,A state matter,c
Donald Trump,Family controversies,Which Trump family member attended the 2016 Trump Tower meeting with a Russian lawyer offering dirt on Hillary Clinton?,Ivanka Trump,Donald Trump Jr.,Eric Trump,Barron Trump,b
Barack Obama,Campaign slogan,Which phrase was prominently used in 2008 youth-targeted campaign materials?,Yes We Can,Forward,Hope,Change We Believe In,a
Donald Trump,College friendships and social life,Which describes Trump's transition from Fordham to Penn Wharton?,Moved from New York to Philadelphia,Stayed in same city,Moved to Boston,Moved overseas,a
Joe Biden,Relations with China,Which security pact did Biden support to counter China's influence by sharing nuclear submarine technology?,AUKUS,NATO,Quad,TPP,a
Barack Obama,Sanctions imposed on other nations,Which major international accord was pursued in part by Obama-era sanctions on Iran?,Paris Agreement,Kyoto Protocol,Joint Comprehensive Plan of Action (JCPOA),Tianjin Accord,c
Donald Trump,Relationship with Senate leaders,Who shepherded the USMCA trade deal through the Senate in 2019?,Marco Rubio,Chuck Schumer,Nancy Pelosi,Mitch McConnell,d
Barack Obama,Teaching or academic career,From which law school did Obama receive his Juris Doctor (JD) degree?,University of Chicago Law School,Yale Law School,Harvard Law School,Columbia Law School,c
Donald Trump,Children's lives during the presidency,The White House Easter Egg Roll is a traditional event for families with children. What activity is characteristic of this event?,Egg rolling,Egg painting,Egg hunting,Egg juggling,a
Barack Obama,Inaugural balls,In which month are Barack Obama's inaugural balls traditionally held?,January,December,February,March,a
Donald Trump,Presidential library or foundation,Which family members served as trustees on the Trump Foundation board and were affected by the settlement?,"Donald Trump Jr., Ivanka Trump, Eric Trump","Donald Trump, Ivanka Trump, Jared Kushner","Donald Trump Jr., Ivanka Trump, Tiffany Trump","Donald Trump, Melania Trump, Ivanka Trump",a
Joe Biden,Father's background and career,In which city in Delaware did Joe Biden Sr. run his dealership?,Dover,Wilmington,Middletown,Newark,b
Donald Trump,Margin of victory,What was Trump's margin of victory in Ohio in 2016?,about 1.0 percentage points,about 12.5 percentage points,about 8.1 percentage points,about 20.0 percentage points,c
Joe Biden,Graduation year and academic record,Which university awarded Biden his undergraduate BA?,Georgetown University,Syracuse University,University of Michigan,University of Delaware,d
Barack Obama,Supreme Court confirmation battles,Which Senate leader was the chief architect of refusing to consider Garland's nomination?,Mitch McConnell,Harry Reid,Chuck Schumer,John Cornyn,a
Joe Biden,LGBTQ rights positions,Which practice aimed at LGBTQ youth did Biden state should be banned for minors?,Conversion therapy,Ex-gay retreats,Harm-minimizing therapy,Gender-affirming therapy,a
Barack Obama,Family holiday traditions,In which Hawaiian town did the Obamas often vacation for Christmas?,Kailua,Honolulu,Hilo,Kahului,a
Donald Trump,Supreme Court nominations,"Which Supreme Court nomination did Trump make on July 9, 2018?",Neil Gorsuch,Amy Coney Barrett,Brett Kavanaugh,John Roberts,c
Donald Trump,High school years,The high school Trump attended can be described as which type of institution?,Private military academy,Private religious school,Public high school,Charter school,a
Donald Trump,Turnout statistics,"In 2016, what was the approximate total number of votes cast for the two major party candidates (Trump and Clinton)?",149.0 million,136.7 million,128.8 million,122.0 million,c
Barack Obama,Campaign gaffes and mistakes,"The line 'If you’ve got a business, you didn’t build that' was meant to emphasize the role of what?",Wealth redistribution,Community and infrastructure,Tax policy only,Individual achievement only,b
Donald Trump,Media feuds,Which Fox News anchor moderated the 2015 GOP debate and became a target of Trump's ire?,Bill O'Reilly,Sean Hannity,Megyn Kelly,Bret Baier,c
Donald Trump,General election debate performance,How many presidential debates occurred in the 2020 cycle between Trump and Biden?,Three,Two,One,Four,c
Donald Trump,Technology and cybersecurity policy,"What initiative did the Trump administration launch in 2020 to reduce foreign adversaries' influence over U.S. digital infrastructure, including networks, data, apps, and cloud services?",Digital Sovereignty Act,Clean Network,Net Neutrality Reform,Cyber Resilience Plan,b
Joe Biden,Early political controversies,The Keating Five controversy highlighted concerns about what issue?,Tax policy,Lobbying influence and regulatory capture,Foreign policy,Electoral reform,b
Donald Trump,Primary election opponents,Which 2016 candidate was a U.S. Senator from Florida?,Marco Rubio,Rand Paul,Ted Cruz,Ben Carson,a
Donald Trump,Graduate or professional school,What was Trump's major when he completed his bachelor's degree?,Political Science,Finance,Economics,Real Estate,c
Joe Biden,United Nations positions,Who did Biden appoint as the United States' ambassador to the United Nations?,Linda Thomas-Greenfield,Samantha Power,Nikki Haley,Susan Rice,a
Joe Biden,Celebrity endorsements received,Which actor and filmmaker hosted a fundraiser for Joe Biden in 2020?,George Clooney,Tom Hanks,Denzel Washington,Brad Pitt,a
Donald Trump,Economic advisors and council,What is the primary function of the White House National Economic Council?,Coordinate economic policy,Oversee budget,Set tax rates,Regulate commerce,a
Barack Obama,Drug policy and enforcement,"During the Obama years, many states expanded which system to track prescription drug dispensing in order to curb misuse?",Prescription Tracking System,Controlled Substances Ledger,Prescription Drug Monitoring Programs (PDMPs),Opioid Registry,c
Joe Biden,Opponent's concession speech,Which major national issue framed the 1972 election context?,Civil rights,Watergate scandal,Space program,OPEC crisis,b
Barack Obama,EPA regulation changes,Which mechanism does the Clean Power Plan rely on to define how states meet emission targets?,MACT (Maximum Achievable Control Technology),BSER (Best System of Emission Reduction),BAT (Best Available Technology),Cap-and-Trade,b
Barack Obama,First job after school,For which organization did Obama work as a community organizer?,Chicago Urban League,Developing Communities Project,NAACP Chicago,Habitat for Humanity Chicago,b
Donald Trump,Syria policy,"In 2018, the United States, United Kingdom, and France carried out airstrikes in Syria in response to a chemical attack. Name one facility that was targeted.",Tanf Garrison,Daraa Military Base,Barzah Research and Development Center,Palmyra Airstrip,c
Donald Trump,Middle East policy,What is the commonly used name for Trump's 2020 peace proposal for Israel-Palestine?,Peace to Prosperity,Deal of the Century,Two-State Vision,Middle East Security Plan,a
Barack Obama,COVID-19 death toll and statistics during tenure,The first known U.S. COVID-19 death occurred in which year relative to Obama’s presidency?,2009,2020,2019,2012,b
Barack Obama,U.S. Senate career,"What is the length of a standard U.S. Senate term, which Obama served?",4 years,2 years,6 years,8 years,c
Donald Trump,Graduation year and academic record,From which high school did Donald Trump graduate in 1964?,New York Military Academy,Kew-Forest School,Bronx High School of Science,Poly Prep Country Day School,a
Donald Trump,Relations with Saudi Arabia,"During the Riyadh summit, Trump touted a defense sale to Saudi Arabia valued at about how much?",$50 billion,$300 billion,$200 billion,$110 billion,d
Joe Biden,G20 summit participation,Which statement about Biden's G20 participation is true?,He phoned in his speeches,He attended only on video,He never attended in person,He attended in-person at three summits,d
Joe Biden,Primary election opponents,Which senator from Minnesota ran against Biden in 2020?,Kamala Harris,Elizabeth Warren,Amy Klobuchar,Marianne Williamson,c
Barack Obama,Supreme Court confirmation battles,Which Obama nominee drew questions for Second Circuit criminal-law decisions?,Garland,Kagan,Sotomayor,Ginsburg,c
Joe Biden,Family's post-presidency life,Which member of the Biden family is a known author?,Jill Biden,Ashley Biden,Hunter Biden,Joe Biden,c
Donald Trump,Policing policy and reform,Which policy area did the White House emphasize to improve policing through training and de-escalation policies as part of the 2020 EO?,Micromanagement of local police budgets,Nationwide chokehold ban,Mass disarmament of police,De-escalation training and use-of-force reforms,d
Barack Obama,Union endorsements received,Which union representing hospital workers endorsed Barack Obama in 2008?,UAW,NEA,SEIU,UFCW,c
Joe Biden,College extracurricular activities,"Overall, Biden's college extracurriculars are often characterized as emphasizing?",Public service and leadership,Athletics,Arts,Science,a
Joe Biden,Immigration legislation efforts,Which branch would have to approve changes under the plan?,Executive,Congress,Judiciary,State legislatures,b
Barack Obama,Post-presidency political involvement,Which 2020 Netflix documentary about a First Lady's life was produced by Higher Ground?,Becoming: The Film,Becoming,A Life of Service,Becoming Ours,b
Barack Obama,Banking and Wall Street regulation,"What does CCAR stand for, the Federal Reserve's annual bank capital planning and stress test program?",Comprehensive Capital Analysis and Review,Corporate Capital Assessment and Review,Capital Commitment Analysis and Review,Critical Capital Allocation Review,a
Barack Obama,Relations with Saudi Arabia,Obama's administration described the U.S.-Saudi partnership as including defense cooperation and which broader goal?,Cultural exchange,Trade-only,Space exploration,Counterterrorism,d
Barack Obama,Landmark court cases during term,Safford Unified School District v. Redding (2009) held that the strip search of a 13-year-old student violated the Fourth Amendment unless what condition exists?,Reasonable suspicion,Unconstitutional,Parental consent,School board approval,b
Barack Obama,Press Secretary choices,In what year did Jay Carney begin his role as White House Press Secretary?,2011,2010,2009,2012,a
Barack Obama,Attorney General selections,What was the Senate vote tally when Eric Holder was confirmed as Attorney General?,60-40,75-21,89-9,51-49,b
Joe Biden,Father's background and career,Which of the following statements about Joe Biden Sr. is true?,He ran a used-car dealership in Delaware,He served as a senator,He was a doctor,He was a professional athlete,a
Joe Biden,Health insurance coverage changes,The Inflation Reduction Act included which consumer protections for prescription drugs?,Free distribution of all drugs,A $0 cap on all drugs,No changes to drug costs,Medicare drug price negotiation and a $35 insulin cap for seniors,d
Donald Trump,Campaign volunteer and ground game,"The 2016 Trump campaign's data-driven outreach relied heavily on which role, later associated with leading the digital effort?",Communications Director,Campaign Manager,Chief Strategist,Digital Director,d
Donald Trump,Voter demographics breakdown,"In 2020, which age group was among Trump's strongest supporters?",18-29,30-44,45-64,65+,d
Barack Obama,Celebrity endorsements received,Which actor helped host fundraisers for Obama and promoted his candidacy in Hollywood circles?,Brad Pitt,Tom Hanks,George Clooney,Matt Damon,b
Joe Biden,Sanctions imposed on other nations,Which designation category is used by the U.S. to block assets and impose export controls on designated individuals and entities?,Most Favored Nation (MFN),Specially Designated Nationals (SDNs),Fast Track Designates,White List,b
Barack Obama,Relationship with House Speaker,Which Speaker faced sustained clashes with Obama over immigration reform in the mid-2010s?,Nancy Pelosi,Mitch McConnell,Paul Ryan,John Boehner,d
Joe Biden,Primary election opponents,"In the 2020 Democratic presidential primary, which candidate from Vermont ran against Joe Biden?",Kamala Harris,Elizabeth Warren,Bernie Sanders,Cory Booker,c
Barack Obama,Use of executive privilege,Public criticism of Obama's use of executive privilege during these disputes often argued that it undermined what?,Economic growth,National security,Environmental policy,Congressional oversight and accountability,d
Donald Trump,Board memberships and nonprofit work,In what year was the Donald J. Trump Foundation founded?,1997,1987,2007,2017,b
Donald Trump,Campaign volunteer and ground game,Which of these is a common responsibility of volunteers in the ground game?,Develop policy papers,Design commercials,Manage payroll,Canvass neighborhoods,d
Donald Trump,National park and monument decisions,Under which department do national monuments fall?,Department of Defense,Department of Agriculture,Department of the Interior,Department of Commerce,c
Donald Trump,China tariffs and trade war,On what date was the Phase One deal signed?,"January 15, 2020","June 1, 2020","December 31, 2019","January 20, 2021",a
Donald Trump,Banking and Wall Street regulation,Which type of mortgage rule was a target for modification under deregulation?,Truth in Lending Act 5-year rule,Ability-to-Repay (ATR) rule,Mortgage Disclosure Improvement Act,Redlining Protection Act,b
Barack Obama,DACA and Dreamer policy,"In 2020, the U.S. Supreme Court ruled that the Trump administration's attempt to terminate DACA was",valid,permitted,constitutional,unlawful,d
Barack Obama,Pardons and commutations granted,Alice Johnson's clemency concerned which type of offense?,Violent crime,Nonviolent drug offenses,Tax evasion,White-collar crime,b
Barack Obama,White House entertaining and state dinners,Which statement best describes Obama-era White House entertaining and state dinners?,They were all private with no media coverage,They avoided any gifts from guests,They occurred only in the East Room,"They emphasized diplomacy, hospitality, and featured guest-country cuisine",d
Joe Biden,High school years,Which fact accurately describes Biden's post-high school education path?,He did not attend college,He attended Harvard for undergrad,He attended Yale for law,He attended the University of Delaware for undergrad and Syracuse for law,d
Barack Obama,Relations with Israel,"In his 2011 address, Obama stated that a future Palestinian state should have borders based on which lines, with mutually agreed swaps?",1973 lines,1949 armistice lines,1967 lines with swaps,1948 armistice lines,c
Joe Biden,Inflation during presidency,In which year did the Federal Reserve begin a series of substantial rate hikes to combat inflation during Biden's presidency?,2020,2021,2022,2023,c
Joe Biden,Mother's background and career,Which Delaware city did the Biden family settle in after moving from Scranton?,Dover,Wilmington,Newark,Middletown,b
Donald Trump,Books read or recommended as president,Which self-help classic did Trump credit as influencing his mindset?,The Power of Positive Thinking,Think and Grow Rich,The Art of War,The Prince,a
Donald Trump,Party affiliation history,What is the most notable year associated with Trump’s Reform Party bid history?,1998,2004,2002,2000,d
Donald Trump,United Nations positions,"In 2018, which UN human rights body did the United States withdraw from?",UN Human Rights Council,UN Security Council,International Court of Justice,CEDAW,a
Donald Trump,Relations with North Korea,Where did Trump and Kim Jong-un hold their first summit?,Pyongyang,Hanoi,Seoul,Singapore,d
Donald Trump,Celebrity endorsements received,Which veteran pop singer publicly endorsed Donald Trump in 2016 and spoke about building a border wall?,Neil Young,Bob Dylan,Pat Boone,Barry Manilow,c
Barack Obama,Media feuds,In what form did Obama periodically respond to misleading or partisan reporting from major outlets?,Press conferences,Formal op-eds,All of the above,Social media statements,c
Donald Trump,International agreements withdrawn from,In what year did the United States take the step to withdraw from the Open Skies Treaty?,2019,2020,2021,2022,b
Barack Obama,Swing state strategy,"In selecting stops in 2008, Obama prioritized locations near what?",Beach towns,Only capital cities,Key manufacturing and swing counties,Random neighborhoods,c
Joe Biden,Judicial philosophy preferences,"In 2021, President Biden established a Commission on Supreme Court Reform. Which of the following was a major stated purpose of that commission?",To select a replacement for Justice Kennedy,"To study potential reforms, including expansion",To determine the Court's budget,To discipline justices,b
Joe Biden,Mother's background and career,Which relationship best describes Catherine Finnegan Biden to Joe Biden?,Aunt,Mother,Sister,Cousin,b
Barack Obama,Pets in the White House,Which dog breed pairing correctly assigns each dog to its breed?,Bo - Golden Retriever; Sunny - Portuguese Water Dog,Sunny - Portuguese Water Dog; Bo - Beagle,Bo - Portuguese Water Dog; Sunny - Golden Retriever,Sunny - Beagle; Bo - Bulldog,c
Joe Biden,Medicaid policy,"In Medicaid policy, what is the role of 1115 waivers?",Not used,Expand private insurance,Replace Medicaid,Expand coverage via demonstrations,d
Joe Biden,Syria policy,Biden's Syria policy supports a political settlement led by which international body?,G7,NATO,United Nations,Arab League,c
Donald Trump,Campaign gaffes and mistakes,Which policy did Trump advocate during his campaign that faced accusations of targeting religion?,A Muslim tax,A Christian ban,A Muslim ban,No ban at all,c
Joe Biden,Use of executive privilege,What best describes the scope of executive privilege in Biden's administration?,It protects all White House communications,It protects only public statements,It protects financial records,It protects internal presidential deliberations but not all communications,d
Barack Obama,Books and memoirs written,Dreams from My Father discusses Barack Obama's upbringing in which locations?,"Hawaii, Indonesia, and Chicago","New York, New Jersey, and Boston",California and Texas,Florida and Georgia,a
Joe Biden,Who administered the oath,Which official position is most closely associated with administering the President's oath?,Vice President,Chief Justice of the United States,Speaker of the House,Attorney General,b
Donald Trump,Banking and Wall Street regulation,Trump’s stance on the separation of commercial and investment banking by Glass-Steagall can be described as:,Loosen it,Preserve it,Repeal entirely,No stated position,a
Donald Trump,Opponent's concession speech,Which opponent's concession speech publicly congratulated Trump and urged unity?,Bernie Sanders,Hillary Clinton,Ted Cruz,John Kasich,b
Barack Obama,First job after school,"The Developing Communities Project (DCP), Obama’s employer, was best described as which type of organization?",A government agency,A for-profit firm,A faith-based nonprofit,A political action committee,c
Donald Trump,Federal Reserve relations and appointments,In which year did Donald Trump appoint Jerome Powell to serve as Chair of the Federal Reserve?,2020,2017,2019,2018,d
