concept,subtopic,question,answer,baseline_output
lasers,Laser printer technology,What fixes toner onto paper in laser printers?,fuser,Electrostatic charge.
the_moon,Chinese Chang'e lunar missions,Which rover accompanied Chang'e 3 to the Moon?,Yutu,Yutu.
bacteria,Gram-positive vs gram-negative bacteria,Do Gram-positive bacteria have an outer membrane?,No outer membrane,"No, they do not."
lasers,Laser engraving and etching,Which material is commonly engraved with a CO2 laser besides wood?,Acrylic,Acrylic and plastic.
people,Human cardiovascular system,What is the main muscular pump of Homo sapiens?,Heart,The main muscular pump of Homo sapiens is the heart.
obama,Teaching at University of Chicago,Barack Obama's tenure at University of Chicago Law School spanned which decades?,1990s and 2000s,The 1990s.
obama,Obama Supreme Court nominations,Who did Barack Obama nominate to the Supreme Court in 2009?,Sonia Sotomayor,Sonia Sotomayor.
obama,Obama executive orders,Which Obama Executive Order is about national security information classification?,13526.,Executive Order 13526.
bacteria,Cyanobacteria and photosynthesis,Which light-harvesting proteins work with chlorophyll in Cyanobacteria?,Phycobiliproteins,Phycobiliproteins.
united_states,US natural disasters history,Which US wildfire was the deadliest in American history (1871)?,Peshtigo Fire,The Peshtigo Fire.
bacteria,Bacterial taxonomy and classification,Staphylococcus aureus belongs to which bacterial genus?,Staphylococcus,Staphylococcus.
cats,Cat rescue and adoption,What minimum age is common for kitten adoption?,eight weeks,Typically 8 weeks.
cats,Cat digestive system,Which organ produces digestive enzymes for cats?,Pancreas,The pancreas.
obama,Cuba relations normalization under Obama,What travel policy did Obama relax to widen Cuba engagement?,Relaxed travel rules,"Obama relaxed the ""wet foot, dry foot"" policy."
lasers,Laser-guided weapons,What wavelength is common for Nd:YAG lasers used in designators?,1064 nm.,1.06 micrometers.
dogs,Dog cardiovascular system,"In dogs, what is the main function of the aorta?",Distributes systemic blood,It carries oxygenated blood from the heart to the rest of the body.
lasers,Laser-guided weapons,Name a gas-laser type used in some weapon systems.,CO2 laser.,Carbon dioxide laser.
chess,Famous chess games in history,Which 1956 chess game is called the Game of the Century?,Game of the Century,Bobby Fischer vs. Donald Byrne.
lasers,Laser invention and history,Who built the first working laser?,Theodore Maiman,Theodore Maiman built the first working laser.
dogs,Dog food industry,What term describes dog foods without grains?,Grain-free.,Grain-free or Limited Ingredient Diets (LIDs).
paris,Paris parks and gardens,Which Paris park in the 15th arrondissement features a hot-air balloon ride?,Parc André-Citroën,"The Bois de Vincennes is not in the 15th arrondissement, but the Bois de Boulogne in the 16th arrondissement has a hot-air balloon ride, however, the Bois de Boulogne is not in the 15th arrondissement."
dogs,Dog shows and competitions,Which competition tests a dog's obedience and handling in a dog show?,Obedience,The obedience competition.
cats,Famous cats in history,Which internet-famous cat is known for a permanently grumpy expression?,Grumpy Cat,Lil Bub.
paris,Paris founding and early history,Which Gaulish tribe gave Paris its name?,Parisii,The Parisii tribe.
obama,Obama relations with world leaders,Obama hosted a meeting with which Mexican president on immigration reform?,Enrique Peña Nieto,Barack Obama met with Enrique Peña Nieto.
cats,Cat cardiovascular system,Which vessel carries blood away from the cat heart toward the lungs for oxygenation?,Pulmonary artery.,"The pulmonary veins do not carry blood away from the heart, they carry it to the heart. The correct answer is the pulmonary arteries."
lasers,"Types of lasers (gas, solid-state, semiconductor)",Which semiconductor laser forms the basis of VCSELs?,VCSEL,Gallium arsenide.
obama,Obama legislative record,Which act reauthorized the Violence Against Women Act in 2013 under Barack Obama?,Violence Against Women Reauthorization Act,The Violence Against Women Reauthorization Act of 2013 was signed into law by Barack Obama.
paris,Paris economy and industries,Which Paris industry is renowned for haute couture?,Fashion,The fashion industry.
obama,Columbia University years,Barack Obama's Columbia years began in which year?,1981,1981.
people,Human language origins,"In human language origins, what is the hypothetical earliest human language called?",Proto-Human language,Proto-language.
obama,Obama State of the Union addresses,What global threat did Obama call to address in the 2010 State of the Union?,climate change,The rise of nuclear-armed North Korea.
dogs,Dog training methods,What does puppy training use to lure steps?,Lure training,Treats and toys.
dogs,Dog tail docking and ear cropping history,Which international body regulates dog cosmetic procedures?,No single global regulator,The World Small Animal Veterinary Association (WSAVA) and the World Animal Health Organization (OIE) have guidelines.
dogs,Dog coat colors and genetics,Which dog gene causes merle patterning?,Merle gene,The Merle gene is caused by a mutation in the MITF gene.
dogs,Herding dog breeds and behavior,What sense do herding dogs rely on most to guide stock?,Sight,Their sense of sight.
people,Human reproduction biology,Which human organ in females produces ova?,Ovary,The ovaries.
cats,Cat tail communication,What does a tail swish away from you indicate in cats?,Disinterest.,Agitation or annoyance.
bacteria,Bacterial vaccines,What is an attenuated bacterial vaccine?,Weakened bacterium used as vaccine.,A weakened or modified form of a bacteria.
chess,Chess Olympiad facts,In which year did the Women's Chess Olympiad begin?,1957,1957.
chess,Blindfold chess,Blindfold chess: What do you call a move that puts the opponent's king in check?,Check,A check.
lasers,Lasers in manufacturing and cutting,What process uses a laser to drill holes?,Laser drilling,Laser ablation drilling.
lasers,Lasers in CD DVD and Blu-ray players,Which assembly uses the laser beam to read data?,Optical pickup unit,Optical disk drive assembly.
paris,Paris and the Enlightenment,Which Paris library served Enlightenment readers?,Bibliothèque Mazarine,The Bibliothèque Mazarine.
cats,Cat domestication history,When were cats domesticated?,"circa 9,000 BCE","Between 10,000 to 9,500 years ago."
the_moon,Moon mountain ranges,What is the Latin term used for Moon mountains?,Montes,Montes Lunae.
paris,Paris cafés and café culture,Which Paris café is iconic for existentialist discussions in the 20th century?,Café de Flore,Café de Flore.
united_states,US mountain ranges,Which United States mountain range dominates much of Alaska's interior?,Alaska Range,The Alaska Range.
united_states,US Bill of Rights,Which amendment protects rights not enumerated in the United States Constitution?,Ninth Amendment,The Ninth Amendment.
lasers,Lasers in nuclear fusion research,What is the typical wavelength of NIF laser light after tripling?,351 nm,355 nanometers.
chess,Famous chess world champions,Who won the World Chess Championship in 1969?,Boris Spassky,Bobby Fischer.
people,Human hand and grip evolution,Which part of the human hand provides sensory feedback during grip?,Finger pads,The palmar surface of the fingers and the palmar aponeurosis.
cats,Domestic cat breeds,Norwegian Forest Cat has what type of coat?,Dense double coat.,"Thick, double coat."
chess,Blindfold chess,Blindfold chess: How many pawns does each side start with?,8,Each side starts with 8 pawns.
paris,Père Lachaise Cemetery facts,In which arrondissement is Père Lachaise Cemetery located?,20th arrondissement,The 20th arrondissement.
the_moon,Moon albedo and brightness,What percent reflectivity characterizes the Moon's regolith in visible light?,12%,About 12%.
cats,Cat vaccinations,Are indoor cats usually given FeLV vaccines?,Usually not,"Typically not, unless they're at high risk."
cats,Big cats vs domestic cats,Big cats vs domestic cats: which group includes lions?,Big cats.,Big cats.
people,Human water and hydration needs,Which factor increases the hydration needs of the human body?,Physical activity.,High altitude and hot weather.
chess,Chess engines and AI,Which organization standardizes official chess ratings?,FIDE,FIDE (Fédération Internationale des Échecs).
chess,Chess Elo rating system,What scores are used in Chess Elo calculation?,"1, 0.5, 0","The scores used are 1 for a win, 0.5 for a draw, and 0 for a loss."
obama,Obama White House pets,Which Obama pet name is connected to sunshine?,Sunny,"Bo, named after the sun."
people,Human body organ systems,"Which system includes skin, hair, and nails in Homo sapiens?",Integumentary system,The integumentary system.
chess,Chess in film and television,The Chess Players by Satyajit Ray depicts chess in which historical year setting?,1856,The 1850s.
people,Human DNA and genetics,What is the human genome?,Complete DNA sequence,The complete set of genetic instructions encoded in an individual's DNA.
obama,Obama post-presidency activities,Where is the Obama Presidential Center planned?,Chicago,"Jackson Park in Chicago, Illinois."
the_moon,Moon formation theories,Which theory posits Moon formed from Earth's disk?,Co-formation theory.,The Giant Impact Hypothesis.
people,Human speech and vocal anatomy,Which part of the human mouth articulates many consonants with lip movement?,Lips,The lower lip.
obama,Michelle Obama partnership,When did Michelle Obama launch Let Girls Learn?,2015,In 2015.
the_moon,Moon orbit and rotation,The Moon's orbital plane is inclined to the ecliptic by roughly how many degrees?,5 degrees,About 5 degrees.
cats,Cat superstitions and folklore,Which famous fictional cat is known for a wide grin in literature?,Cheshire Cat.,"The Cheshire Cat from Lewis Carroll's ""Alice's Adventures in Wonderland""."
people,Human sleep science,Which sleep stage in humans features sleep spindles?,Stage N2,Stage 2 non-rapid eye movement (NREM) sleep.
obama,Early life and birthplace,Who was Barack Obama's paternal grandfather?,Stanley Armour Dunham.,Frances Walter Robinson.
paris,Centre Pompidou facts,Who designed Centre Pompidou in Paris?,Renzo Piano and Richard Rogers,Renzo Piano and Richard Rogers.
lasers,LASIK eye surgery with lasers,What process does LASIK excimer laser perform on corneal tissue?,Ablation.,Photoablation of corneal tissue.
chess,Chess Elo rating system,What is the standard Chess Elo update formula?,Old rating plus K times score difference,"K = (1 + (B - R) / 400), where K is the rating change, B is the opponent's rating, and R is the player's rating."
united_states,US national anthem facts,What is the opening line of the US national anthem?,Oh say can you see,"""O say can you see."""
the_moon,Notable lunar scientists and astronomers,Which astronomer mapped the Moon in the late 1600s and has a crater named Cassini?,Giovanni Domenico Cassini,Giovanni Cassini.
the_moon,Moon age estimates,What is the Moon's estimated age?,4.5 billion years,Approximately 4.51 billion years.
cats,Cat allergies in humans,Can a kitten exposure cause cat allergy symptoms?,Yes.,"Yes, even a small kitten exposure can trigger cat allergy symptoms."
united_states,US Great Depression facts,What term describes the drought-induced ecological disaster across the U.S. Plains during the early 1930s?,Dust Bowl,The Dust Bowl.
the_moon,Future Moon colonization plans,What power source is often proposed for lunar bases?,Nuclear power,Nuclear reactors.
the_moon,Moon formation theories,What is the Moon-origin idea that involves fission from Earth?,Fission theory.,The Fission Hypothesis.
paris,Paris fashion industry,Which Paris district is known for Saint-Germain-des-Prés fashion scene?,Saint-Germain-des-Prés,The 6th arrondissement.
obama,Obama post-presidency activities,Which alliance under the Obama Foundation focuses on girls' education globally?,Girls Opportunity Alliance,The Girls Opportunity Alliance.
lasers,Maser vs laser differences,What property of laser light describes its phase relation over time?,Coherence,Coherence.
paris,Paris and the Enlightenment,Which Paris publication spread Enlightenment ideas in the 18th century?,Mercure de France,The Encyclopédie.
chess,Deep Blue vs Kasparov match,Which term describes a match between a human and a computer in chess?,Computer chess match,"A match between a human and a computer in chess is called a ""human-computer match""."
chess,Chess etiquette and sportsmanship,Where are captured chess pieces placed during a match?,Captured pieces tray.,On the opponent's side of the board.
dogs,Dog parasites and ticks,Which condition from heavy tick infestation causes pale gums in dogs?,Anemia.,Anemia.
cats,Big cats vs domestic cats,Which cat group has a famous roar used for territory?,Big cats.,Lions.
bacteria,Bacterial metabolism types,Bacterial metabolism that fixes CO2 using light and releases O2?,Oxygenic photosynthesis.,Photosynthesis.
chess,Chess tournaments and major competitions,What is the global rapid chess championship called?,World Rapid Championship,The FIDE World Rapid Chess Championship.
people,Human cooperation and social behavior,What mechanism enforces social norms in human societies?,sanctions,Social norms are enforced through a combination of internalized self-regulation and external social control mechanisms.
cats,Cat sleep patterns,Does purring during sleep indicate deeper cat naps?,Not necessarily,"Purring during sleep is a sign of relaxation, not necessarily deeper sleep."
lasers,Laser speed and light properties,What is the primary role of stimulated emission in lasers?,Amplify light,Amplifying light through population inversion.
the_moon,Apollo 11 Moon mission,What year did Apollo 11 reach the Moon?,1969,"July 20, 1969."
united_states,US Cold War involvement,What 1975 agreement did the United States sign to ease tensions with the Soviet Union?,Helsinki Accords,The Helsinki Accords.
the_moon,Moon formation theories,What evidence explains the Moon's small iron core relative to Earth?,Small iron core.,The Moon's iron core is small due to a massive iron-depleted magma ocean that solidified early in its history.
obama,Early life and birthplace,Which city did Barack Obama primarily grow up in?,Honolulu.,"Honolulu, Hawaii."
chess,Chess and cognitive science research,Which chess activity is used to study working memory in cognitive science?,Calculation,The N-Back task is often used to study working memory in cognitive science.
paris,Paris parks and gardens,Which Paris garden houses the Medici Fountain?,Jardin du Luxembourg,The Luxembourg Gardens.
paris,Paris literary history,What term describes Hemingway's Paris years in the 1920s?,Lost Generation,The Lost Generation.
the_moon,Future Moon colonization plans,What term describes long-duration lunar habitats?,Lunar habitats,Lunar base.
chess,Ancient predecessors of chess,Which piece in shatranj corresponds to the modern bishop?,Alfil,The vizier.
dogs,Dog parasites and ticks,Which parasite is commonly seen as jumping insects on a dog's fur?,Fleas.,Fleas.
lasers,Laser pointer facts,What safety class label is commonly on basic laser pointers?,Class 2.,Class 3R.
bacteria,Bacterial vaccines,What is a protein subunit vaccine for bacteria?,Vaccine using bacterial proteins.,A vaccine that uses a single protein from a bacterium to stimulate an immune response.
cats,Cat territorial behavior,What term describes overlapping cat territories?,territorial overlap,Home range overlap.
chess,Chess strategy principles,"In chess strategy, why is central control important?",Gains space and initiative.,It allows for greater mobility and development.
cats,Cat training techniques,What is target training in cats?,Target cue,"A method of teaching cats to associate a specific object, such as a toy or laser pointer, with a reward."
paris,Paris theater and opera history,What was the original name of the Paris Opera under Louis XIV?,Académie Royale de Musique,Académie Royale de Danse.
lasers,Laser applications in agriculture,What drone-mounted laser system maps crop stand structure?,Drone-based LIDAR,"The ""Crop Circle"" system."
cats,Cat social structure,What term describes a queen and her kittens?,litter,"A queen and her kittens are called a ""litter""."
people,Human reflexes and instincts,What reflex ensures swallowing in humans during feeding?,Swallowing reflex,The swallowing reflex is ensured by the pharyngeal reflex.
bacteria,Bacterial cell wall composition,Which acids extend through Gram-positive peptidoglycan to the surface?,Lipoteichoic acids,Teichoic acids.
cats,Cat hunting instincts,What term describes a cat's early predator practice with a feather wand?,Mock hunt.,Hunting instinct development.
chess,Chess and mathematics connections,How many squares on a standard chessboard?,64 squares,64 squares.
cats,Cat reproduction and kittens,What is the gestation period for a cat?,63-65 days,Approximately 63-65 days.
lasers,Laser wavelengths and spectrum,What term describes a laser with an extremely narrow spectral width?,narrow linewidth,Monochromatic laser.
people,Human growth and development stages,"In humans, what stage marks puberty onset?",Puberty,Adrenarche.
dogs,Dog exercise requirements by breed,French Bulldog daily exercise needs?,30-60 minutes,"Short, gentle walks and playtime."
people,Human nervous system,Which system governs involuntary actions like heartbeat in humans?,Autonomic nervous system,The autonomic nervous system.
chess,Simultaneous chess exhibition matches,Which organization governs rating norms for Elo used in chess?,FIDE,The World Chess Federation (FIDE) governs rating norms for Elo used in chess.
cats,Cat behavior and body language,What does a cat do when calm and resting?,Relaxed whiskers.,It stretches and purrs.
people,Human reflexes and instincts,Which instinct leads humans to form attachments with caregivers?,Attachment instinct,The instinct of attachment and bonding.
chess,Chess prodigies,Which modern chess prodigy is often called the greatest of all time by many fans?,Magnus Carlsen,Magnus Carlsen.
chess,Correspondence chess history,Which modern platform enables international correspondence chess?,Online servers,"Online chess platforms such as Lichess, Chess.com, and Chess24."
the_moon,Transient lunar phenomena,What Earth-based instrument is used to observe lunar TLPs?,Telescopes,Telescopes.
chess,Online chess platforms,What is Lichess's license status in online chess?,open-source,"Lichess is open-source and free software, licensed under the AGPLv3."
chess,FIDE chess organization,What is FIDE's mission?,Promote chess worldwide,To govern and promote international chess.
paris,Haussmann renovation of Paris,Haussmann's Paris organization resulted in how many arrondissements?,twenty,Twelve.
dogs,Dog tail docking and ear cropping history,Is ear cropping on dogs banned in many places today?,Often banned,"Yes, it is prohibited in many countries and jurisdictions."
dogs,Guide dogs for the blind,What characteristic is prioritized in guide dog selection?,Temperament,Temperament.
united_states,US transportation infrastructure,Which U.S. agency investigates transportation accidents nationwide?,National Transportation Safety Board,The National Transportation Safety Board (NTSB).
obama,Harvard Law School years,Barack Obama's Harvard years occurred before which president began in 1993?,Bill Clinton,Bill Clinton.
obama,Obama White House pets,Which Obama family dog joined the White House in 2013?,Sunny,"Bo, the Portuguese Water Dog."
chess,Chess variants: blitz rapid and bullet,Two pieces in castling?,King and rook,Castling is not allowed with two pieces in between.
bacteria,Bacterial genetic engineering uses,What is a selectable marker used to identify transformed bacterial cells?,Antibiotic resistance marker,A selectable marker is an antibiotic resistance gene.
dogs,Dog digestive system,Which organ produces enzymes that digest fats in dogs?,pancreas,The pancreas.
chess,Chess notation systems,What is the Elo rating used for?,Player strength rating,To measure the relative skill levels of players in competitive games.
the_moon,Lunar timekeeping systems,What term describes the duration of lunar surface operations in NASA missions?,MET,Lunar surface extravehicular activity (EVA) duration.
the_moon,Moon rocks brought to Earth,What are tiny glassy particles in Moon rocks called?,Agglutinates,Feldspathic glass beads.
dogs,Dog tail docking and ear cropping history,At what age were many dogs cropped or docked historically?,As puppies,Typically between 2-14 days old.
lasers,Ruby laser history,What is the pumping method used in Maiman's ruby laser?,Xenon flash lamp,Optical pumping with flash lamps.
bacteria,Bacterial size and scale,Which unit is standard for measuring bacterial size?,Micrometers (μm),Micrometer (μm).
cats,Cat intelligence and learning,Do kittens show observational learning?,Yes,Kittens exhibit observational learning through social and behavioral mimicry.
people,Human blood types,Which blood type is most common among humans?,O positive,Type O is the most common.
obama,Obama executive orders,Which Obama Executive Order addresses declassification of information?,Executive Order 13526.,"Executive Order 13526, ""Classified National Security Information."""
obama,2008 presidential campaign,Barack Obama's 2008 campaign promised healthcare reform via which act?,Affordable Care Act,The Affordable Care Act.
the_moon,Moon recession from Earth,Do Moon tides affect Earth’s rotation?,Yes; slows Earth.,No significant effect.
paris,Paris sports teams,Which Paris club won the Cup Winners' Cup in 1996?,Paris Saint-Germain,Paris Saint-Germain.
dogs,Dog nose and scent ability,Through which receptors do dogs sense odors?,Olfactory receptors,Dogs sense odors through olfactory receptors in their nasal cavity.
people,Human reproduction biology,What is the process of birth called in humans?,Parturition,The process of birth in humans is called parturition.
dogs,Therapy and emotional support dogs,Which trait helps therapy dogs stay calm around strangers?,Gentle temperament.,High socialization and desensitization.
bacteria,Tuberculosis bacterium,What staining method identifies tuberculosis bacterium?,Acid-fast staining,Ziehl-Neelsen staining.
dogs,Dog paw anatomy,Which extra claw sits on a dog's front paw?,dewclaw,Dogs do not have an extra claw on their front paws.
paris,Luxembourg Gardens facts,In which arrondissement are the Luxembourg Gardens located?,6th arrondissement,6th arrondissement.
united_states,US education system,Which level administers public schools in the United States?,State governments.,Local school districts.
obama,Obama administration controversies,Which Obamacare provision faced penalty controversy?,Individual mandate,The individual mandate faced penalty controversy.
paris,Paris parks and gardens,In which Paris park can you find a large central lake?,Parc Montsouris,Tuileries Garden.
bacteria,Pathogenic bacteria species,Which anaerobic Gram-positive rod causes gas gangrene?,Clostridium perfringens,Clostridium perfringens.
people,Human record-breaking physical feats,Who first ran the human sub-4-minute mile?,Roger Bannister,Roger Bannister.
united_states,US cultural landmarks and monuments,Which United States Los Angeles landmark features large white letters on a hillside?,Hollywood Sign,The Hollywood Sign.
bacteria,Bacterial toxins,Endotoxin is a component of which group of bacteria?,Gram-negative bacteria,Gram-negative bacteria.
the_moon,First humans on the Moon,In which lunar mare did Apollo 11 land?,Mare Tranquillitatis,Sea of Tranquility.
chess,Pawn promotion rules in chess,Can a pawn promote on a capture to last rank in chess?,Yes.,"No, promotion is only on a move, not a capture."
dogs,Dog parasites and ticks,Name the canine ear mite.,Otodectes cynotis.,Otodectes cynotis.
obama,Obama climate change policies,Which program did Obama expand to help households improve energy efficiency?,Weatherization Assistance Program,The Weatherization Assistance Program.
paris,Paris fashion industry,Which Paris-based conglomerate owns Louis Vuitton and Dior?,LVMH,LVMH (Moët Hennessy Louis Vuitton).
dogs,Dog digestive system,Which canine organ stores bile for fat digestion?,gallbladder,The gallbladder.
bacteria,Bacterial flagella and motility,What is the rotor component of the bacterial flagellar motor called?,MS ring,The rotor component of the bacterial flagellar motor is called the MS ring.
people,Human reflexes and instincts,Which vestibulo-ocular reflex stabilizes vision during head movement in humans?,Vestibulo-ocular reflex,The otolith-ocular reflex.
the_moon,Moon in mythology and culture,Which Aztec Moon goddess is Coyolxauhqui?,Coyolxauhqui,Coyolxauhqui is the Aztec Moon goddess.
cats,Cat respiratory system,What air-filled cavity around the cat lungs called?,Pleural cavity,Thoracic cavity.
united_states,US immigration history,"In United States immigration history, what year did the Chinese Exclusion Act become law?",1882,The Chinese Exclusion Act became law in 1882.
dogs,Dog vaccinations,Are there noncore vaccines for dogs?,"Yes: Bordetella, Lyme disease, influenza, leptospirosis.","Yes, there are several noncore vaccines."
paris,Centre Pompidou facts,What year did Centre Pompidou open in Paris?,1977,1972.
united_states,US Supreme Court landmark cases,Which US Supreme Court case established the Miranda warnings for police?,Miranda v. Arizona,Miranda v. Arizona (1966).
the_moon,Moon synchronous rotation,Can Moon libration reveal the Moon's far side over time?,"Yes, over time","Yes, through careful observation."
paris,Paris tourism statistics,Île de la Cité arrondissement?,4th arrondissement.,The 1st arrondissement of Paris.
bacteria,Tuberculosis bacterium,Is tuberculosis bacterium gram-positive or gram-negative?,Gram-positive,Gram-positive.
paris,Paris population and demographics,What is Paris population density (approx)?,"around 20,000 per km²","Approximately 21,000 people per square kilometer."
chess,Chess in film and television,"In Harry Potter and the Sorcerer's Stone, what kind of chess game do the students play?",Life-sized chess,It's a three-dimensional Wizard's Chess game.
chess,Speed chess records,What name is given to very fast online chess games with 1 minute per side?,Bullet chess,Blitz chess.
paris,Paris architecture styles,Luxembourg Palace in Paris showcases which style?,Baroque,Italian Renaissance architecture.
dogs,Dog size extremes by breed,Which small dog breed is a classic lap dog with a long silky coat?,Yorkshire Terrier,The Bichon Frise.
obama,Obama Foundation,What is the public center project called that is tied to the Obama Foundation?,Obama Presidential Center,The public center project is called the Obama Presidential Center.
chess,Simultaneous chess exhibition matches,What is a simultaneous exhibition in chess commonly called?,simul,A simultaneous exhibition.
people,Human brain and cognition,"In humans, which neural structure processes emotion and fear?",Amygdala,The amygdala.
united_states,US national parks system,Which is the largest United States national park by area?,Wrangell–St. Elias National Park,Wrangell-St. Elias National Park.
paris,Paris film and cinema history,Which 2006 anthology film showcases segments set across Paris?,"Paris, Je t'aime","Paris, je t'aime."
chess,Women in chess history,In which year did the Women's Chess Olympiad begin?,1957,1957.
chess,Famous chess world champions,Which World Chess Champion is American?,Bobby Fischer,Bobby Fischer.
cats,Cat territorial behavior,What practice helps limit territorial disputes in cats after a move?,gradual introductions,Providing a familiar scent trail.
people,Human water and hydration needs,What symptom indicates insufficient hydration in the human mouth?,Dry mouth.,"Dry, sticky, or coated tongue."
people,Human memory and learning,Which learning form occurs through association in humans?,Classical conditioning,Classical conditioning.
the_moon,Moon gravity compared to Earth,"On the Moon, do feather and hammer fall at the same rate?",Yes.,"Yes, they fall at the same rate."
bacteria,Bacterial decomposition,"What term refers to bacteria that break down dead matter, including during decomposition?",saprophytes,Saprotrophic bacteria.
dogs,Dog domestication history,Which sense is central to canine domestication studies?,Smell,Olfaction.
united_states,US federal holidays,Which United States federal holiday celebrates Christmas?,Christmas Day,Christmas Day.
dogs,Dog teeth and dental care,What brushing frequency is recommended for dogs?,Daily brushing,Daily brushing is recommended for most dogs.
bacteria,Cell structure and morphology,Does a bacterium have a true nucleus?,No nucleus; nucleoid,"No, it has a nucleoid."
paris,Paris cafés and café culture,Which Paris café near the Latin Quarter is historic and bohemian?,Le Procope,Café de Flore.
cats,Cat population statistics worldwide,What category name is used for female cats in breeding notes?,queen,Queen.
bacteria,Bacterial bioluminescence,Which signaling molecule mediates quorum sensing in bacteria?,AHL,N-acyl homoserine lactones (AHLs).
paris,Paris tourism statistics,Louvre location arrondissement?,1st arrondissement.,1st arrondissement.
cats,Cat purring mechanics,Do Siamese cats purr differently from other cats?,No; similar mechanism.,Siamese cats purr with a higher frequency.
obama,Obama political legacy,In what year did Obama sign the Affordable Care Act into law?,2010,"March 23, 2010."
united_states,US census and demographic trends,"What term measures births per 1,000 people in the United States?",birth rate,Birth rate.
lasers,Laser pointer facts,What is the typical maximum output power of many classroom laser pointers?,5 mW max.,Typically around 5 milliwatts.
bacteria,Bacterial diseases in humans,Which bacterium causes diphtheria?,Corynebacterium diphtheriae,Corynebacterium diphtheriae.
cats,Cats and water relationship,Do domestic cats prefer running water?,"Yes, running water is preferred.",Many domestic cats prefer running water over stagnant water.
dogs,Dog skeletal differences by breed,"Which dog breed has a short body with a long, low stance due to short legs?",Basset Hound,The Basset Hound.
paris,Paris population and demographics,What is the population of the Paris metropolitan area?,about 12 million,Over 12.2 million people.
bacteria,Bacterial flagella and motility,What is the typical rotation direction during runs in Gram-negative bacteria?,counterclockwise,Counter-clockwise.
dogs,Dog memory and cognition,Can dogs remember where they buried food?,"Yes, location memory.",Some dogs can recall the location of buried food.
dogs,Dog teeth and dental care,What is the purpose of dental chews for dogs?,Reduces plaque,To promote oral health and reduce tartar buildup.
paris,Eiffel Tower facts,What color is the Eiffel Tower typically repainted?,Brown,A rusty reddish-brown color.
paris,Haussmann renovation of Paris,Name a Paris street widened by Haussmann.,Boulevard Haussmann,Boulevard Saint-Michel.
dogs,Dog tail docking and ear cropping history,Is dog ear cropping legal in the United States?,Varies by state,"Regulated by state laws, with some states banning it."
obama,Obama daughters Sasha and Malia,When was Malia Obama born?,"July 4, 1998","April 4, 1998."
cats,Cat respiratory system,What is the feline voice box called?,Larynx,The feline voice box is called the larynx.
paris,Paris bridges over the Seine,Which Paris bridge over the Seine has famous views of the Eiffel Tower?,Pont Bir-Hakeim,Pont des Arts.
people,Human body organ systems,Which system handles digestion in the human body?,Digestive system,The gastrointestinal system.
chess,Chess and mathematics connections,What chess move keeps king safe by moving the king and rook?,Castling,Castling.
people,Human respiratory system,Which system adjusts breathing rate during exercise in humans?,Autonomic nervous system,The autonomic nervous system.
the_moon,Moon far side facts,In what year did Luna 3 photograph the Moon's far side?,1959,1959.
paris,Paris arrondissements system,How are Paris arrondissements numbered?,Clockwise spiral from center,They are numbered in a clockwise spiral from the center.
dogs,Dog social hierarchy and pack behavior,What term describes a dog's stable social rank within a pack?,dominance hierarchy,Dominance hierarchy.
paris,Palace of Versailles connection to Paris,What is the Queen's Hamlet near Paris called?,Hameau de la Reine,Château de Chantilly.
bacteria,Bacterial genetics and plasmids,What is the common name for plasmids carrying resistance genes?,R-plasmids,R-plasmids.
the_moon,Moon synchronous rotation,Which Moon hemisphere is mostly seen from Earth due to locking?,Near side,The near side of the Moon.
bacteria,Bacterial colonies and culture techniques,What technique prevents contamination during bacterial culture?,Aseptic technique.,Sterilization by autoclaving.
people,Human cardiovascular system,What is the largest artery in Homo sapiens?,Aorta,The aorta.
united_states,US tech industry and Silicon Valley,What region within the United States is the core of its tech industry?,Silicon Valley,"The San Francisco Bay Area, particularly Silicon Valley."
united_states,US federal holidays,When is Labor Day observed in the United States?,First Monday in September,The first Monday in September.
the_moon,Apollo program Moon missions,What is the term for Moon rocks astronauts collected during Apollo missions?,Lunar rocks,Lunar samples.
bacteria,Archaea vs bacteria,"Which group contains cyanobacteria that perform oxygenic photosynthesis, archaea or bacteria?",Bacteria,Bacteria.
bacteria,Famous bacteriologists,Which bacteriologist built the Winogradsky column to study soil bacteria?,Sergei Winogradsky,Sergei Winogradsky.
dogs,Dogs in literature and film,Which beagle is Charlie Brown's dog in Peanuts?,Snoopy,Snoopy is Charlie Brown's beagle.
lasers,Lasers in military applications,What is a laser designator used for?,Target illumination.,Guiding precision-guided munitions to their targets.
bacteria,Quorum sensing in bacteria,Is quorum sensing limited to pathogenic bacteria?,"No, many non-pathogenic bacteria","No, quorum sensing is found in both pathogenic and non-pathogenic bacteria."
the_moon,Moon size and distance from Earth,Does Moon distance affect its apparent size?,Yes,"Yes, it does vary slightly."
cats,Cat cardiovascular system,Which chamber receives oxygenated blood from the lungs in the cat?,Left atrium.,The left atrium.
the_moon,Full moon names by month,Which month features the Beaver Moon as its full Moon name?,November,November.
chess,Chess pattern recognition,What chess pattern uses an 'X-ray' through a piece to hit a more valuable target behind it?,X-ray,The Pin.
paris,Haussmann renovation of Paris,What network linked central Paris and improved navigation during Haussmann's redesign?,grand boulevards network,The Paris Metro network.
cats,Cat diet and nutrition,Can cats thrive on a high-carbohydrate diet?,No,"No, cats are obligate carnivores and require a high-protein, low-carbohydrate diet."
