concept,subtopic,q,a,b,c,d,ans
lasers,"Types of lasers (gas, solid-state, semiconductor)",Which category includes diode lasers for fiber optics?,Gas laser,Solid-state laser,Semiconductor laser,Dye laser,c
lasers,Laser printer technology,What rotates to scan the laser across the page?,polygon mirror,transfer belt,pickup roller,platen roller,a
lasers,Helium-neon laser facts,Which gas provides the lasing transition in a typical He-Ne laser?,Argon,Helium,Xenon,Neon,d
lasers,Semiconductor diode lasers,Which device is a type of semiconductor diode laser?,VCSEL,LED,Photodiode,Peltier,a
lasers,Laser welding technology,Which component adjusts the laser beam spot size in laser welding?,Focusing lens,Reflector,Beam splitter,Nozzle,a
lasers,Maser vs laser differences,"Masers typically require cryogenic temperatures, unlike many lasers.",High temp,Room temp,Cryogenic,Any temp,c
lasers,Laser tattoo removal,Which laser is preferred for resistant black tattoos?,Nd:YAG 1064 nm,Ruby 694 nm,CO2 10600 nm,Excimer 308 nm,a
lasers,Laser applications in agriculture,What laser-based method is used to kill weeds in fields?,Chemical spray,Mechanical tillage,Laser weed control,Seed planting,c
lasers,Famous laser researchers and pioneers,Who helped develop laser frequency combs?,Theodor Hänsch,John Hall,Steven Chu,Claude Cohen-Tannoudji,a
lasers,Laser holography,Which holography uses lasers to form the image?,Acoustic holography,Mobile holography,Transmission holography,Thermal holography,c
lasers,Laser-guided weapons,What is the process when the target reflects the laser back?,Echo,Absorption,Refraction,Reflection,d
lasers,Laser hair removal technology,Which laser type is preferred for hair removal on darker skin?,Alexandrite 755,Nd:YAG 1064,Diode 810,CO2 10600,b
lasers,Lasers in barcode scanners,What is the typical beam shape emitted by many barcode laser scanners?,Ring,Dot,Line,Burst,c
lasers,Laser skin treatments,What is the purpose of fractional laser treatment?,Scar filling,Hair removal,Skin resurfacing with microcolumns,Vascular cooling,c
lasers,Lasers in space exploration,Which laser-based technique maps crater shapes from orbit?,Photogrammetry,Radar,Sonar,LIDAR,d
lasers,Laser cooling of atoms,"In laser cooling, what does optical molasses rely on?",Viscous light,Magnetic trap,Ionizing field,Thermal bath,a
lasers,Lasers in 3D printing,What PPE is essential when operating lasers in a 3D printer?,laser safety glasses,gloves,ear protection,dust mask,a
lasers,Laser welding technology,Which safety precaution is essential when operating lasers for welding?,Eye protection,Hearing protection,Gloves only,No gloves,a
lasers,Laser engraving and etching,Which material is most common for desktop laser engraving?,Metal,Stone,Wood,Ceramic,c
lasers,Quantum cascade lasers,QCLs are primarily what wavelength region?,Mid-IR,Near-IR,Visible,UV,a
lasers,LIDAR and laser range finding,Lasers used in LIDAR can suffer from atmospheric attenuation; which factor mainly affects range in fog?,aberration,glare,speckle,scattering,d
lasers,Nobel Prizes related to lasers,Which of these scientists shared the 1964 Nobel Prize for work related to lasers?,Isaac Newton,Albert Einstein,Nikolai Basov,Niels Bohr,c
lasers,Nobel Prizes related to lasers,Which scientists won the 2012 Nobel Prize in Physics for experiments with quantum systems often using laser light?,Serge Haroche,Steven Chu,Arthur Ashkin,Donna Strickland,a
lasers,Laser applications in agriculture,Laser-based spectral imaging detects nutrient deficiency by measuring what?,Humidity,Soil pH,Temperature,Pigment levels,d
lasers,"Types of lasers (gas, solid-state, semiconductor)",Nd:YAG laser is a common example of which category?,Solid-state laser,Gas laser,Semiconductor laser,Dye laser,a
lasers,Laser engraving and etching,Which software feature is needed to drive laser engraving patterns?,Vector import,Audio playlist,3D shading,Color wheel,a
lasers,Laser applications in agriculture,Laser sensing can assess ripeness by measuring what in fruit?,Chlorophyll content,Sugar content,Acidity,Texture,a
lasers,Lasers in CD DVD and Blu-ray players,Which component controls the laser diode's output power?,lens,photodiode,laser driver,motor,c
lasers,"Types of lasers (gas, solid-state, semiconductor)",Ruby laser uses ruby crystal as gain medium; category?,Gas laser,Solid-state laser,Semiconductor laser,Dye laser,b
lasers,Laser speed and light properties,"Laser pulses can achieve extremely short durations, enabling",long range,slow motion,wide area,ultrafast measurements,d
lasers,Lasers in nuclear fusion research,Which laser parameter controls the uniformity of the ablated surface?,energy,wavelength,polarization,pulse shape,d
lasers,"Types of lasers (gas, solid-state, semiconductor)",Telecom-grade lasers are typically which category?,Gas laser,Semiconductor laser,Solid-state laser,Dye laser,b
lasers,Laser speed and light properties,Laser beams are known for having low,speed,brightness,frequency,divergence,d
lasers,Laser applications in agriculture,Laser sensors in harvesters help identify ripe fruit by measuring what?,Weight,Size,Color,Firmness,c
lasers,Lasers in manufacturing and cutting,Which wavelength is common for fiber lasers used in metal cutting?,532 nm,10 μm,1.06 μm,355 nm,c
lasers,LIDAR and laser range finding,Lasers in phase-shift LIDAR measure distance by what?,time of flight,phase difference,intensity,Doppler,b
lasers,Lasers in barcode scanners,Which color laser is most commonly used in barcode scanners?,Green,Red,Blue,Infrared,b
lasers,Laser-guided weapons,What weather condition degrades laser guidance most?,Rain,Clear,Fog,Snow,c
lasers,Laser coherence properties,Which laser property most directly controls first-order temporal coherence?,cavity loss,pulse energy,repetition rate,linewidth,d
lasers,Laser-guided weapons,Do laser-guided weapons require continuous illumination?,Yes,No,Sometimes,Never,a
lasers,Laser coherence properties,What improves coherence by reducing losses in a laser cavity?,bigger cavity,more loss,larger beam,higher Q,d
lasers,Laser acronym origin and meaning,The 'Radiation' in LASER refers to what type of energy?,sound,electromagnetic energy,chemical,kinetic,b
lasers,Lasers in nuclear fusion research,Which laser facility employs the OMEGA laser in fusion experiments?,LULI,NIF,LMJ,OMEGA,d
lasers,Laser printer technology,What resets the drum for the next page after transfer?,cooling,recharging,cleaning,warming,b
lasers,LASIK eye surgery with lasers,Which laser system tracks eye movement during LASIK?,no-tracking,iris tracking,eye-tracking,head tracking,c
lasers,How lasers work and stimulated emission,What is the role of the gain medium in laser operation?,Randomize phase,Absorb photons,Redirect heat,Amplify photons,d
lasers,Nobel Prizes related to lasers,What laser technique did Mourou and Strickland develop to create ultra-short pulses?,Mode-locking,Chirped pulse amplification,Q-switching,Regenerative amplification,b
lasers,Lasers in medicine and surgery,Which laser is used for tattoo and pigment removal with Q-switching?,Diode laser,CO2 laser,KTP laser,Nd:YAG laser,d
lasers,Lasers in dentistry,Root canal disinfection can be enhanced with which laser?,Er:YAG,CO2,Nd:YAG,Diode,c
lasers,Lasers in dentistry,Which range is typical for dental diode lasers?,1000-1100 nm,700-800 nm,800-900 nm,1500-1600 nm,c
lasers,Quantum cascade lasers,Which material system is common for QCLs?,GaAs/AlGaAs,SiGe,GaN/AlN,InP-based quantum wells,d
lasers,Lasers in manufacturing and cutting,Which laser process enables 3D cutting of complex parts?,laser drilling,laser engraving,laser cutting,laser trimming,c
lasers,Laser safety classifications,Which laser class is commonly associated with high-risk beam hazards in labs?,Class 1,Class 3B,Class 3R,Class 2,b
lasers,Laser beam properties,What laser beam quality metric describes how close a beam is to an ideal Gaussian?,Coherence,Brightness,Wavelength,M^2,d
lasers,Laser tattoo removal,What principle allows selective ink targeting during tattoo removal?,Unselective ablation,Selective photothermolysis,Photolysis,Cryolysis,b
lasers,Ultrafast femtosecond lasers,Which term describes stretching then amplifying then compressing pulses in ultrafast lasers?,Mode locking,Q-switching,Chirped Pulse Amplification,Regeneration,c
lasers,Laser engraving and etching,Which material responds well to CO2 laser engraving?,Wood,Steel,Diamond,Glass,a
lasers,Ruby laser history,The ruby laser demonstrated the feasibility of what kind of light source?,white light,incoherent source,thermal source,coherent light source,d
lasers,Quantum cascade lasers,Which region do QCLs commonly target?,Mid-IR,Near-IR,Visible,UV,a
lasers,Laser spectroscopy,"In laser absorption spectroscopy, which parameter is scanned to map the spectrum?",Polarization,Beam diameter,Pulse energy,Wavelength,d
lasers,Lasers in dentistry,Which laser was historically used for whitening in dentistry?,CO2,Nd:YAG,Argon,Er:YAG,c
lasers,Lasers in space exploration,Which laser technique calibrates spacecraft-to-spacecraft distance in deep-space experiments?,Time-of-flight,Radio ranging,Laser ranging,Interferometry,c
lasers,Helium-neon laser facts,What is critical to align in He-Ne lasers?,mirrors,lenses,tube,aperture,a
lasers,LASIK eye surgery with lasers,What is the main refractive surface altered by LASIK lasers?,retina,cornea,lens,sclera,b
lasers,Laser interferometry,What keeps the laser frequency locked to the cavity length in precision interferometers?,thermal drift,manual tune,feedback control,passive stabilization,c
lasers,Laser communication systems,What link connects satellites using lasers?,Fiber link,Microwave link,RF link,Inter-satellite optical link,d
lasers,Laser beam properties,What term describes phase-front uniformity across a laser beam?,Coherence,Polarization,Diameter,Wavelength,a
lasers,Semiconductor diode lasers,What coating reduces optical feedback in semiconductor diode lasers?,Mirror coating,AR coating,UV coating,IR filter,b
lasers,Laser speed and light properties,Laser light in a medium travels slower due to,refractive index,diffraction,polarization,gain,a
lasers,Lasers in space exploration,What advantage do lasers offer for interplanetary communication?,Higher data rate,Less power,Lower cost,More reliable,a
lasers,Lasers in telecommunications,DFB in telecom lasers stands for?,Distributed Feedback,Direct Fiber Bias,Dynamic Frequency Band,Diode Feedback,a
lasers,Fiber laser technology,"In fiber lasers, the fiber guides light by?",Electron reflection,Electron flow,Total internal reflection,Convex refraction,c
lasers,Laser skin treatments,Which laser is used for tattoo removal with multi-color pigments?,Diode laser,CO2 laser,Q-switched Nd:YAG,Er:YAG laser,c
lasers,Laser tattoo removal,What factors influence the number of laser passes?,Ink depth,Ink color,Skin type,All of the above,d
lasers,Quantum cascade lasers,What emission mechanism enables mid-IR light in QCLs?,intersubband,interband,dye,fiber,a
lasers,Famous laser researchers and pioneers,Who invented the first practical laser diode?,Theodore Maiman,Nick Holonyak,Ali Javan,Gordon Gould,b
lasers,"Types of lasers (gas, solid-state, semiconductor)",Ti:sapphire laser belongs to which category?,Gas laser,Solid-state laser,Semiconductor laser,Dye laser,b
lasers,Lasers in entertainment and light shows,What term describes projecting laser beams to form stage visuals?,LED projection,Laser projection,Video mapping,Light painting,b
lasers,Laser cooling of atoms,Which Doppler laser cooling limit sets the minimum temperature?,Quantum limit,Recoil limit,Lattice limit,Doppler limit,d
lasers,Laser-guided weapons,What on the missile detects the laser return?,Gyro,Receiver,Photodetector,Seeker,d
lasers,Laser alignment tools,"When using a laser alignment tool, what is the effect of temperature drift?",Power drop,Color shift,Angle error,Speed,c
lasers,Laser-guided weapons,"Besides aircraft, who can designate with a laser?",Ground crew,Sailor,Robot,Scout,a
lasers,Ultrafast femtosecond lasers,What mainly determines the spectral bandwidth of ultrafast laser pulses?,beam diameter,pulse energy,pulse duration,repetition rate,c
lasers,Laser alignment tools,Which adjustment knob on a laser alignment tool moves the laser along an axis?,Tilt,Pan,X-axis,Focus,c
lasers,Laser cooling of atoms,What role do lasers play in a magneto-optical trap?,Provide imaging only,Provide magnetic field only,Not used,Provide cooling and trapping beams,d
lasers,Ruby laser history,What is the standard emission wavelength of the ruby laser?,694 nm,800 nm,532 nm,1064 nm,a
lasers,Lasers in barcode scanners,What safety class are most handheld laser barcode scanners designed to meet?,Class 2,Class 1,Class 3B,Class 4,b
lasers,Lasers in military applications,"In laser-guided munitions, 'beam-riding' means the missile",follows the laser beam to target,shoots beam,emits beam,uses radar,a
lasers,Quantum cascade lasers,What cooling requirement is common for many QCLs?,cryogenic cooling,no cooling,heating required,vacuum only,a
lasers,Laser spectroscopy,Which laser property is primarily exploited in high-resolution spectroscopy?,High power,Narrow linewidth,Polarization,Beam divergence,b
lasers,Lasers in entertainment and light shows,Which artist is famous for using lasers in live shows?,Kanye West,Drake,Taylor Swift,Pink Floyd,d
lasers,Laser engraving and etching,Which cooling method is common in CO2 laser systems?,Air cooling,No cooling,Oil cooling,Water cooling,d
lasers,Quantum cascade lasers,What is the typical emission range of many QCLs?,0.8-1.0 μm,3-12 μm,1-3 μm,20-40 μm,b
lasers,Laser interferometry,Which effect gives multiple reflections allowing sharp resonance in laser interferometry?,Michelson,Sagnac,Mach-Zehnder,Fabry-Perot,d
lasers,Laser skin treatments,Which laser wavelength is most likely to cause pigment changes in darker skin?,1319 nm,1064 nm,590 nm,532 nm,d
lasers,Laser hair removal technology,Which is a benefit of laser hair removal over waxing?,Quick session,Long-term reduction,Pain-free,Low cost,b
lasers,Laser invention and history,What color did the first ruby laser emit?,Yellow,Green,Blue,Red,d
lasers,Lasers in manufacturing and cutting,Which gas is commonly used as an assist gas with lasers for metal cutting?,nitrogen,air,argon,oxygen,d
lasers,Lasers in telecommunications,"In lasers for telecom, which component provides wavelength filtering via a grating?",Polarizer,Diffraction grating,Fiber Bragg grating,Isolator,c
lasers,"Types of lasers (gas, solid-state, semiconductor)",Which category includes diode lasers used in pointers?,Gas laser,Semiconductor laser,Solid-state laser,Dye laser,b
lasers,How lasers work and stimulated emission,Which process in lasers produces coherent photons?,Spontaneous emission,Stimulated emission,Absorption,Scattering,b
lasers,CO2 laser facts,What is a key advantage of CO2 lasers for plastics?,Rough finish,Heat damage,Slow cuts,Clean edges,d
lasers,Laser invention and history,Which property enables lasers to be focused to a tight spot?,Coherence,Brightness,Wavelength,Polarization,a
lasers,How lasers work and stimulated emission,What method creates population inversion in lasers?,Emission,Absorption,Pumping,Cooling,c
lasers,Laser holography,What laser property does holography mainly rely on for sharp fringes?,Power,Intensity,Wavelength,Phase,d
lasers,Laser hair removal technology,Which cooling method is used during laser hair removal to reduce pain?,Gel wrap,Ice pack,Water cool,Cryogen spray,d
lasers,Ultrafast femtosecond lasers,What is an application of ultrafast lasers in material processing?,polishing,engraving,drilling,micromachining,d
lasers,Lasers in military applications,Which branch has actively pursued military laser weapons for air defense?,army,navy,air force,marines,c
lasers,Laser alignment tools,Laser alignment tools' alignment accuracy is affected by what instrument for initial setup?,Magnet,Ruler,Calipers,Tripod,d
lasers,Lasers in telecommunications,Which laser is common for short-reach telecom links and on-chip photonics?,HeNe,CO2,Nd:YAG,VCSEL,d
lasers,LIDAR and laser range finding,Lasers in LIDAR for autonomous cars use which wavelength in safety windows?,1550 nm,532 nm,1064 nm,405 nm,a
lasers,Laser coherence properties,Temperature fluctuations in lasers cause what?,more power,phase noise,wider beam,more stable,b
lasers,Ruby laser history,Are ruby lasers tunable across a wide wavelength range?,Yes,No,Sometimes,Only with crystals,b
lasers,Lasers in entertainment and light shows,Which technique uses fast laser beam scanning to paint a logo?,Confetti,Digital mapping,Holography,Beam painting,d
lasers,Lasers in military applications,Military lasers can designate targets at long range.,daylight only,always work,long-range designation,uses cloud cover,c
lasers,LASIK eye surgery with lasers,Which LASIK laser ablation is called photoablation?,CO2,femtosecond,excimer,diode,c
lasers,Lasers in dentistry,What safety must match the laser wavelength?,PPE,gloves,eyewear,mask,c
lasers,Laser speed and light properties,"During refraction, a laser's frequency",stays same,changes,increases,decreases,a
lasers,Quantum cascade lasers,QCLs are typically what wavelength region?,Mid-IR,UV,Visible,Far-IR,a
lasers,Laser power measurements and units,What unit do laser power meters typically display?,Joules,Meters,Watts,Amps,c
lasers,Laser alignment tools,"In laser alignment tools, what does self-level help maintain?",Horizontal alignment,Battery life,Line width,Focus,a
lasers,Laser welding technology,What cooling method is commonly used to maintain laser welding accuracy at high power?,Water cooling,Air cooling,Liquid nitrogen,No cooling,a
lasers,Nobel Prizes related to lasers,Which scientist was a laureate in the 2014 Nobel Prize in Chemistry for super-resolved fluorescence microscopy using lasers?,Linus Pauling,Peter Debye,Dorothy Hodgkin,Eric Betzig,d
lasers,Laser printer technology,What is the typical safety class of an enclosed laser printer?,Class 1,Class 2,Class 3B,Class 4,a
lasers,Lasers in military applications,Which military laser type is commonly mounted on ships for defense?,chemical laser,solid-state laser,laser rangefinder,laser pointer,b
lasers,CO2 laser facts,What cooling method is common for CO2 lasers?,Air cooling,Water cooling,Oil cooling,Peltier,b
lasers,Laser engraving and etching,Which method does lasers use to remove material during engraving?,Ultrasonic,Mechanical cutting,Chemical etching,Photothermal ablation,d
lasers,Laser spectroscopy,Which broadening is caused by finite laser linewidth in spectroscopy?,Laser linewidth broadening,Doppler broadening,Collisional broadening,Natural broadening,a
lasers,Laser pointer facts,Some laser pointers include what safety feature to prevent accidental activation?,Safety key,Lock switch,Tamper tag,Password,a
lasers,Lasers in entertainment and light shows,What is the primary safety risk of lasers in entertainment?,Eye injury,Heat burn,Electric shock,Fire,a
lasers,Laser printer technology,What is used to align color channels in a color laser printer?,cleaning blade,color registration,transfer belt,corona,b
lasers,Laser speed and light properties,Which laser property determines how much a beam bends when entering a new medium?,speed,color,coherence,intensity,a
lasers,Ruby laser history,The first ruby laser was built at which institution?,Stanford,Bell Labs,MIT,Hughes Research Labs,d
lasers,Laser communication systems,What is the role of a photodetector at a laser receiver?,Generate laser,Amplify signal,Convert light to electrical,Filter noise,c
lasers,Ultrafast femtosecond lasers,Which laser commonly pumps femtosecond Ti:sapphire lasers?,Argon ion,Nd:YAG,Diode laser,CO2,b
lasers,Laser interferometry,Which technique in laser interferometry increases sensitivity by recycling light from the output port?,power recycling,signal recycling,beam recycling,noise recycling,b
lasers,Laser engraving and etching,Which component focuses the laser beam onto the workpiece?,Mirror,Lens,Nozzle,Cooler,b
lasers,"Types of lasers (gas, solid-state, semiconductor)",Krypton laser is which category?,Semiconductor laser,Solid-state laser,Gas laser,Dye laser,c
lasers,Lasers in nuclear fusion research,Which type of laser is commonly used to achieve high-energy pulses in ICF?,excimer,diode,CO2,Nd:glass,d
lasers,LIDAR and laser range finding,Lasers in lidar imagery uses scanning patterns; which method uses rotating polygon mirror?,fresnel lens,galvanometer,MEMS mirror,polygon scanner,d
lasers,Laser cavities and mirrors,"For a laser, which parameter defines the stability of a two-mirror cavity?",Length,Mirror coatings,Temperature,g1g2 between 0 and 1,d
lasers,Lasers in nuclear fusion research,Which laser design uses chirped-pulse amplification to reach high peak powers in fusion experiments?,CPA,Q-switch,mode-lock,CW,a
lasers,Laser wavelengths and spectrum,Which equation relates laser wavelength and frequency correctly?,λ = f c,f = λ c,f = c/λ,λ = h f,c
lasers,Laser printer technology,Which component directs the laser across the page in a laser printer?,corona wire,polygon mirror,fuser,pickup roller,b
lasers,Fiber laser technology,What is a common fiber-laser architecture?,Bulk-laser,All-fiber,Gas-laser,Free-space,b
lasers,LASIK eye surgery with lasers,Which laser is used to create a LASIK flap by photodisruption at the stromal layer?,femtosecond,Nd:YAG,argon,HeNe,a
lasers,Laser cavities and mirrors,"In a laser, what determines mode spacing in the cavity?",Mirrors,Temperature,Gain,Length,d
lasers,Laser-guided weapons,What safety risk is linked to laser designators?,Eye injury,Noise,Thermal burn,Magnetism,a
lasers,Helium-neon laser facts,What cavity type is used in He-Ne lasers?,prism,three-mirror,two-mirror,ring,c
lasers,Ruby laser history,What color does a ruby laser emit?,green,red,blue,orange,b
lasers,How lasers work and stimulated emission,What is the purpose of the gain medium in lasers?,Filter colors,Absorb light,Amplify light,Scatter photons,c
lasers,Laser communication systems,What ensures receiver tracks transmitter angle in a laser link?,Filter,Antenna,Modulator,Tracking loop,d
lasers,Laser speed and light properties,"In a fiber laser, light speed is reduced by",refractive index,fiber length,mode,polarization,a
lasers,Laser skin treatments,Which laser is commonly used for tattoo removal?,Q-switched Nd:YAG,Continuous wave CO2,Diode laser,Er:YAG laser,a
lasers,Laser beam properties,Which term means a laser beam remains parallel over distance?,Diffraction,Brightness,Divergence,Collimation,d
lasers,Laser engraving and etching,Which factor limits engraving on reflective metals with CO2 lasers?,Reflectivity,Absorption,Thickness,Melting point,a
lasers,Ruby laser history,The ruby laser contributed to which class of lasers?,semiconductor lasers,gas lasers,dye lasers,solid-state lasers,d
lasers,Laser power measurements and units,"For lasers, average power equals pulse energy times repetition rate.",Not sure,False,True,Inapplicable,c
lasers,Helium-neon laser facts,What safety concern is key for He-Ne lasers?,skin burn,eye damage,radiation,chemical exposure,b
lasers,Laser holography,Why control laser power in holography?,Speed up,Color balance,Prevent damage,Delay exposure,c
lasers,Laser tattoo removal,Laser tattoo removal uses what process to break ink into particles?,Cryolysis,Photolysis,Photothermolysis,Ablation,c
lasers,Laser coherence properties,What primarily causes phase drift in a laser cavity?,spin,color,cavity length drift,humidity,c
lasers,Lasers in nuclear fusion research,What type of lasers are used in inertial confinement fusion to compress fuel pellets?,Gas lasers,Dye lasers,Diode lasers,High-energy lasers,d
lasers,Laser skin treatments,Which laser is used for fractional non-ablative skin resurfacing?,1550 nm fractional,CO2 fractional,532 nm,1064 nm,a
lasers,Lasers in space exploration,Which laser technique measures the distance to a spacecraft by bouncing light off a target?,Sonar,Radar,Laser ranging,Interferometry,c
lasers,Lasers in telecommunications,Which modulation method directly modulates the telecom laser's drive current?,Direct modulation,External modulation,Phase modulation,Frequency modulation,a
lasers,Lasers in barcode scanners,Which factor limits the safe use of lasers in scanners?,Battery life,Power output,Data rate,Size,b
lasers,Laser invention and history,Which scientist's work on stimulated emission underpins lasers?,Bohr,Planck,Einstein,Curie,c
lasers,Quantum cascade lasers,What is unique about QCL emission compared to diode lasers?,two-carrier,unipolar,electron-hole,phonon-assisted,b
lasers,Lasers in manufacturing and cutting,Which laser type is commonly used for metal cutting?,LED laser,fiber laser,dye laser,gas laser,b
lasers,Ruby laser history,The ruby laser is a type of which laser category?,gas laser,solid-state laser,dye laser,liquid laser,b
lasers,Semiconductor diode lasers,Which technique in semiconductor diode lasers produces narrow linewidth?,LED,DBR,VCSEL,DFB,d
lasers,Laser alignment tools,"When aligning lasers, what does a rotary stage adjust?",Height,Color,Speed,Angle,d
lasers,Lasers in entertainment and light shows,What device is used to reveal laser beams by creating a visible plume in the air?,Dimmer,Laser projector,Fog machine,Mirror,c
lasers,Lasers in barcode scanners,What role does the rotating polygon mirror play in barcode lasers?,Directs scan line,Focuses beam,Filters light,Stores data,a
lasers,Laser pointer facts,What component is commonly used to pump DPSS green laser pointers?,Gas tube,Diode laser,Battery,Crystal,b
lasers,Laser engraving and etching,Which setting primarily changes engraving depth?,Gas,Speed,Focus,Power,d
lasers,Excimer laser facts,XeCl excimer laser wavelength?,248 nm,308 nm,193 nm,351 nm,b
lasers,How lasers work and stimulated emission,"In lasers, what term describes a population with more excited atoms than ground?",Metastable,Population inversion,Saturation,Coherence,b
lasers,Laser invention and history,Which laser type is commonly used for cutting due to infrared wavelengths?,Ruby,HeNe,CO2,Dye,c
lasers,Semiconductor diode lasers,What does VCSEL stand for in lasers?,Vertical-cavity emitting laser,Vertical-cavity surface-emitting laser,Vertical-cavity surface-emitting light,Very-cavity surface-emitting laser,b
lasers,Laser interferometry,"In laser interferometry, what device splits a laser beam into two paths?",lens,prism,mirror,beam splitter,d
lasers,Laser speed and light properties,Laser's narrow color arises from its,coherence,speed,polarization,brightness,a
lasers,Laser wavelengths and spectrum,"In lasers, what is the purpose of second-harmonic generation?",broader spectrum,more power,shorter wavelength,lower efficiency,c
lasers,Lasers in 3D printing,"In laser SLS for PA12, what bed temperature is typical?",40°C,300°C,200°C,90°C,d
lasers,Lasers in dentistry,Which laser is best for enamel and dentin cutting with minimal thermal damage?,Er:YAG,CO2,Nd:YAG,Argon,a
lasers,Laser pointer facts,Can laser pointers cause eye injury even at low power?,Only with red,No,Yes,Only in IR,c
lasers,Laser safety classifications,What is the typical maximum power for Class 3R lasers?,Class 1,Class 2,Class 3R,Class 4,c
lasers,Laser spectroscopy,"In laser spectroscopy, what is the purpose of reference lines from a known sample?",Intensity normalization,Wavelength calibration,Noise reduction,Focusing,b
lasers,Laser invention and history,Who built the first working laser?,Theodore Maiman,Gordon Gould,Charles Townes,Ali Javan,a
lasers,Excimer laser facts,Excimer lasers are typically?,pulsed,continuous,both,none,a
lasers,Excimer laser facts,Typical pulse duration of excimer lasers?,1-20 ns,1-5 ns,1-1 ms,1 s,a
lasers,Excimer laser facts,Lasing medium in most excimer lasers?,metal vapor,solid crystal,liquid dye,gas halide,d
lasers,Laser pointer facts,Do some green laser pointers leak infrared light?,Sometimes,Often,Always,Never,a
lasers,Semiconductor diode lasers,Which laser type uses a Bragg reflector for wavelength selection?,DFB laser,VCSEL,LED,DBR laser,d
lasers,Laser spectroscopy,What is the laser-based technique measures sample fluorescence after excitation with light?,Absorption,Laser-induced fluorescence,Luminescence,Scattering,b
lasers,Helium-neon laser facts,What other He-Ne laser line exists besides red 632.8 nm?,589 nm,1064 nm,543.5 nm,700 nm,c
lasers,Laser invention and history,Which scientist's patent activity helped kickstart laser development?,Theodore Maiman,Albert Einstein,Gordon Gould,Charles Townes,c
lasers,Laser interferometry,Which photodetector setup reduces laser intensity noise in interferometry?,lock-in,single-ended,DC readout,balanced detection,d
lasers,Laser spectroscopy,What advantage do frequency-stabilized lasers provide in cavity-enhanced spectroscopy?,Higher cost,More noise,Increased sensitivity,Slower measurements,c
lasers,Semiconductor diode lasers,"In semiconductor diode lasers, what determines the threshold current of lasers?",Junction area,Mirror reflectivity,Coolant flow,Onset of light,d
lasers,LIDAR and laser range finding,Lasers in laser range finders require calibration; what term describes clock offset?,latency,jitter,clock drift,calibration,c
lasers,Nobel Prizes related to lasers,Who won the 1997 Nobel Prize in Physics for methods to cool and trap atoms with laser light?,Albert Einstein,Steven Chu,Niels Bohr,Richard Feynman,b
lasers,Laser power measurements and units,Laser beam power density unit?,W/cm^2,W/m^2,J/m^2,Lumen/m^2,a
lasers,Laser skin treatments,Which laser wavelength is commonly used for hair removal on darker skin tones?,1064 nm Nd:YAG,755 nm Alexandrite,694 nm Ruby,532 nm KTP,a
lasers,Nobel Prizes related to lasers,The 1964 Nobel Prize recognized work on masers and lasers; what is the microwave-light amplification device?,Laser,Maser,LED,Diode,b
lasers,Nobel Prizes related to lasers,"Which scientist was a laureate in 2014 for super-resolved fluorescence microscopy using lasers, alongside others?",Stefan Hell,Eric Betzig,William Moerner,James Watson,a
lasers,Laser hair removal technology,Which laser wavelength is safest for darker skin due to lower melanin absorption?,755 nm,1064 nm,810 nm,532 nm,b
lasers,Lasers in manufacturing and cutting,Which laser parameter reduces heat-affected zone?,high humidity,long pulse,slow speed,short pulse,d
lasers,Laser alignment tools,Which phenomenon can degrade laser alignment measurement if not kept stable?,Brightness,Rotation,Color shift,Vibration,d
lasers,Laser-guided weapons,Which part tracks the laser return?,Auto-drive,Warhead,Fuse,Seeker,d
lasers,Laser communication systems,What beam property defines how focused the laser is?,Wavelength,Divergence,Modulation,Bandwidth,b
lasers,Lasers in space exploration,"In space lidar, lasers measure what on planetary surfaces?",Temperature,Topography,Pressure,Albedo,b
lasers,Laser speed and light properties,"In laser physics, c refers to",speed of light in vacuum,concentration,color,coherence,a
lasers,Lasers in barcode scanners,Which property of lasers helps scanners read small barcodes quickly?,Collimation,Brightness,Monochromatic,Coherence,a
lasers,Lasers in nuclear fusion research,What is the key process that lasers induce to achieve fusion in ICF?,reflection,fusion,ablation,conduction,c
lasers,Laser cavities and mirrors,"In a laser cavity, what is the output coupler?",High-reflectivity mirror,Semi-transparent mirror,Partial reflector,Anti-reflective coating,b
lasers,Laser cavities and mirrors,"In a laser cavity, what mirrors shape the beam?",Flat,Curved,Planar,Hybrid,b
lasers,Lasers in medicine and surgery,Which laser is used in LASIK to reshape the cornea?,Nd:YAG laser,Excimer laser,CO2 laser,Diode laser,b
lasers,Laser-guided weapons,What does 'LGB' stand for?,Light Guidance Bomb,Light Guided Beacon,Laser Guided Bullet,Laser Guided Bomb,d
lasers,Laser applications in agriculture,What laser-technique helps monitor crop height and biomass?,Photogrammetry,Radar,Sonar,Lidar,d
lasers,Laser beam properties,Which laser beam property sets the minimum focus spot size?,Wavelength,Amplitude,M^2,Polarization,c
lasers,Nobel Prizes related to lasers,Attosecond physics uses lasers to study electrons on what timescales?,Nanosecond timescales,Attosecond timescales,Microsecond timescales,Millisecond timescales,b
lasers,Lasers in space exploration,What laser technology enables long-range optical links between spacecraft and Earth?,Radio,Laser communication,Microwave,Fiber,b
lasers,How lasers work and stimulated emission,"In lasers, what does stimulated emission cause an excited atom to emit?",Higher-energy photon,Photon identical to stimulating photon,Absorbed photon,Scattered photon,b
