cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,best_layer,best_scale,cheap_refusal_target,cheap_refusal_untargeted,fluency_target,fluency_untargeted,n_target,n_untargeted,refusal_target,refusal_untargeted,retention_target,retention_untargeted,transfer_score,is_native
religion__mmlu__conceptvectors__k4,religion,mmlu,conceptvectors,4,4,0,3.0,0.0,0.0,1.0,1.0,16.0,16.0,0.0,0.0,0.625,0.5625,0.0,False
religion__mmlu__conceptvectors__k512,religion,mmlu,conceptvectors,512,93,9,4.0,0.125,0.0,1.0,1.0,16.0,16.0,0.0625,0.0,0.6875,0.6875,0.0625,False
religion__mmlu__conceptvectors__k64,religion,mmlu,conceptvectors,64,64,1,6.0,0.625,0.3125,1.0,1.0,16.0,16.0,0.3125,0.125,0.125,0.1875,0.2734375,False
religion__mmlu__conceptvectors__k8,religion,mmlu,conceptvectors,8,8,2,4.0,0.1875,0.0625,1.0,1.0,16.0,16.0,0.1875,0.0,0.25,0.5625,0.1875,False
religion__mmlu__mmlu__k128,religion,mmlu,mmlu,128,93,1,4.0,0.5625,0.125,1.0,1.0,16.0,16.0,0.5625,0.25,0.125,0.25,0.421875,True
religion__mmlu__mmlu__k16,religion,mmlu,mmlu,16,16,6,10.0,0.8125,0.25,1.0,1.0,16.0,16.0,0.5,0.0625,0.0625,0.25,0.46875,True
religion__mmlu__mmlu__k2,religion,mmlu,mmlu,2,2,4,6.0,0.625,0.8125,1.0,1.0,16.0,16.0,0.6875,0.875,0.0,0.0,0.0859375,True
religion__mmlu__mmlu__k256,religion,mmlu,mmlu,256,93,1,3.0,0.625,0.0625,1.0,1.0,16.0,16.0,0.5625,0.0625,0.1875,0.4375,0.52734375,True
religion__mmlu__mmlu__k32,religion,mmlu,mmlu,32,32,0,2.0,0.5625,0.375,1.0,1.0,16.0,16.0,0.5625,0.3125,0.0625,0.4375,0.38671875,True
religion__mmlu__mmlu__k4,religion,mmlu,mmlu,4,4,9,6.0,0.75,0.0625,1.0,1.0,16.0,16.0,1.0,0.0625,0.25,0.875,0.9375,True
religion__mmlu__mmlu__k512,religion,mmlu,mmlu,512,93,0,2.0,0.5625,0.0625,1.0,1.0,16.0,16.0,0.6875,0.1875,0.125,0.4375,0.55859375,True
religion__mmlu__mmlu__k64,religion,mmlu,mmlu,64,64,1,3.0,0.5,0.125,1.0,1.0,16.0,16.0,0.625,0.0625,0.0,0.4375,0.5859375,True
religion__mmlu__mmlu__k8,religion,mmlu,mmlu,8,8,9,7.0,0.625,0.125,1.0,1.0,16.0,16.0,1.0,0.125,0.3125,0.8125,0.875,True
space__inhouse__inhouse__k128,space,inhouse,inhouse,128,128,0,9.0,0.5625,0.0625,1.0,1.0,16.0,16.0,0.5625,0.0625,0.0,0.5,0.52734375,True
space__inhouse__inhouse__k16,space,inhouse,inhouse,16,16,3,3.0,0.3125,0.0,1.0,1.0,16.0,16.0,0.4375,0.0,0.25,0.875,0.4375,True
space__inhouse__inhouse__k2,space,inhouse,inhouse,2,2,13,10.0,0.375,0.125,1.0,1.0,16.0,16.0,0.375,0.125,0.4375,0.75,0.328125,True
space__inhouse__inhouse__k256,space,inhouse,inhouse,256,256,5,7.0,0.25,0.0,1.0,1.0,16.0,16.0,0.875,0.0,0.5,0.875,0.875,True
space__inhouse__inhouse__k32,space,inhouse,inhouse,32,32,1,2.0,0.375,0.0,1.0,1.0,16.0,16.0,0.25,0.0,0.0,0.875,0.25,True
space__inhouse__inhouse__k4,space,inhouse,inhouse,4,4,11,9.0,0.4375,0.0,1.0,1.0,16.0,16.0,0.8125,0.1875,0.125,0.8125,0.66015625,True
space__inhouse__inhouse__k512,space,inhouse,inhouse,512,495,2,3.0,0.5,0.0,1.0,1.0,16.0,16.0,0.5,0.0,0.0625,1.0,0.5,True
space__inhouse__inhouse__k64,space,inhouse,inhouse,64,64,1,3.0,0.375,0.0,1.0,1.0,16.0,16.0,0.4375,0.0,0.0,0.875,0.4375,True
space__inhouse__inhouse__k8,space,inhouse,inhouse,8,8,2,4.0,0.3125,0.125,1.0,1.0,16.0,16.0,0.5625,0.1875,0.0,0.6875,0.45703125,True
space__inhouse__mmlu__k128,space,inhouse,mmlu,128,128,5,5.0,0.625,0.0,1.0,1.0,16.0,16.0,0.625,0.0,0.125,0.8125,0.625,False
space__inhouse__mmlu__k16,space,inhouse,mmlu,16,16,3,3.0,0.3125,0.0625,1.0,1.0,16.0,16.0,0.3125,0.0625,0.1875,0.75,0.29296875,False
space__inhouse__mmlu__k2,space,inhouse,mmlu,2,2,3,3.0,0.625,0.6875,1.0,1.0,16.0,16.0,0.875,0.75,0.0,0.0625,0.21875,False
space__inhouse__mmlu__k256,space,inhouse,mmlu,256,256,4,3.0,0.625,0.25,1.0,1.0,16.0,16.0,0.5625,0.3125,0.1875,0.625,0.38671875,False
space__inhouse__mmlu__k32,space,inhouse,mmlu,32,32,2,8.0,0.1875,0.0,1.0,1.0,16.0,16.0,0.25,0.0,0.0625,0.4375,0.25,False
space__inhouse__mmlu__k4,space,inhouse,mmlu,4,4,4,3.0,0.5,0.5625,1.0,1.0,16.0,16.0,0.625,0.375,0.0625,0.1875,0.390625,False
space__inhouse__mmlu__k512,space,inhouse,mmlu,512,495,2,3.0,0.625,0.0,1.0,1.0,16.0,16.0,0.5625,0.0,0.25,0.9375,0.5625,False
space__inhouse__mmlu__k64,space,inhouse,mmlu,64,64,8,4.0,0.5,0.25,1.0,1.0,16.0,16.0,0.5,0.125,0.1875,0.5625,0.4375,False
space__inhouse__mmlu__k8,space,inhouse,mmlu,8,8,2,4.0,0.125,0.0625,1.0,1.0,16.0,16.0,0.3125,0.125,0.0,0.375,0.2734375,False
space__mmlu__inhouse__k128,space,mmlu,inhouse,128,93,9,4.0,0.625,0.125,1.0,1.0,16.0,16.0,0.625,0.1875,0.5,0.75,0.5078125,False
space__mmlu__inhouse__k16,space,mmlu,inhouse,16,16,9,5.0,1.0,0.125,1.0,1.0,16.0,16.0,1.0,0.125,0.625,0.875,0.875,False
space__mmlu__inhouse__k2,space,mmlu,inhouse,2,2,4,8.0,0.0625,0.0,1.0,1.0,16.0,16.0,0.25,0.1875,0.4375,0.5625,0.203125,False
space__mmlu__inhouse__k256,space,mmlu,inhouse,256,93,9,6.0,0.875,0.0625,1.0,1.0,16.0,16.0,0.875,0.0625,0.1875,0.8125,0.8203125,False
space__mmlu__inhouse__k32,space,mmlu,inhouse,32,32,9,5.0,0.875,0.0625,1.0,1.0,16.0,16.0,1.0,0.0,0.25,0.9375,1.0,False
space__mmlu__inhouse__k4,space,mmlu,inhouse,4,4,3,3.0,0.5,0.125,1.0,1.0,16.0,16.0,0.5,0.3125,0.3125,0.625,0.34375,False
space__mmlu__inhouse__k512,space,mmlu,inhouse,512,93,9,6.0,0.8125,0.0,1.0,1.0,16.0,16.0,0.8125,0.0,0.4375,1.0,0.8125,False
space__mmlu__inhouse__k64,space,mmlu,inhouse,64,64,0,2.0,0.25,0.0,1.0,1.0,16.0,16.0,0.5625,0.0,0.1875,0.5625,0.5625,False
space__mmlu__inhouse__k8,space,mmlu,inhouse,8,8,11,9.0,0.9375,0.0625,1.0,1.0,16.0,16.0,0.9375,0.0625,0.1875,0.75,0.87890625,False
space__mmlu__mmlu__k128,space,mmlu,mmlu,128,93,5,5.0,0.75,0.125,1.0,1.0,16.0,16.0,1.0,0.125,0.0625,0.75,0.875,True
space__mmlu__mmlu__k16,space,mmlu,mmlu,16,16,10,7.0,0.75,0.0,1.0,1.0,16.0,16.0,0.75,0.0625,0.25,0.9375,0.703125,True
space__mmlu__mmlu__k2,space,mmlu,mmlu,2,2,10,8.0,0.1875,0.0,1.0,1.0,16.0,16.0,0.375,0.0,0.375,1.0,0.375,True
space__mmlu__mmlu__k256,space,mmlu,mmlu,256,93,9,6.0,0.9375,0.125,1.0,1.0,16.0,16.0,0.9375,0.125,0.1875,1.0,0.8203125,True
space__mmlu__mmlu__k32,space,mmlu,mmlu,32,32,3,4.0,0.4375,0.0,1.0,1.0,16.0,16.0,0.5625,0.0,0.25,0.9375,0.5625,True
space__mmlu__mmlu__k4,space,mmlu,mmlu,4,4,9,5.0,0.8125,0.375,1.0,1.0,16.0,16.0,0.875,0.375,0.4375,0.625,0.546875,True
space__mmlu__mmlu__k512,space,mmlu,mmlu,512,93,9,5.0,0.875,0.0,1.0,1.0,16.0,16.0,0.875,0.0,0.25,1.0,0.875,True
space__mmlu__mmlu__k64,space,mmlu,mmlu,64,64,9,5.0,0.6875,0.0625,1.0,1.0,16.0,16.0,0.6875,0.0625,0.3125,0.75,0.64453125,True
space__mmlu__mmlu__k8,space,mmlu,mmlu,8,8,10,8.0,1.0,0.125,1.0,1.0,16.0,16.0,0.9375,0.125,0.125,0.75,0.8203125,True
